"";"CODUFMUN";"Equipamentos de Diagnostico por Imagem";"Equipamentos de Infra-Estrutura";"Equipamentos de Odontologia";"Equipamentos para Manutencao da Vida";"Equipamentos por Metodos Graficos";"Equipamentos por Metodos Opticos";"Outros Equipamentos";"total"
"1";"120001";1;1;6;10;0;0;0;18
"2";"120005";1;0;2;5;0;0;0;8
"3";"120010";3;1;8;5;1;0;3;21
"4";"120013";0;0;6;0;0;0;0;6
"5";"120017";0;0;5;5;0;0;0;10
"6";"120020";26,5;9;43;27;4;5;9;123,5
"7";"120025";0;1;4;0;0;0;0;5
"8";"120030";2;0;3;21;1;1;0;28
"9";"120032";0;0;2;0;0;0;0;2
"10";"120033";0;0;9;4;1;0;0;14
"11";"120034";1;0;2;4;0;0;0;7
"12";"120035";0;3;3;1;0;0;0;7
"13";"120038";3;1,5;51;7;0;0;2;64,5
"14";"120039";0;0;4;0;0;0;1;5
"15";"120040";153;338;668,5;466;39,5;60;153,5;1878,5
"16";"120042";0;0;6;0;0;0;0;6
"17";"120043";0;0;11;4;0;0;0;15
"18";"120045";1;1;10;15;0;0;0;27
"19";"120050";3;1;15;10;1;0;5;35
"20";"120060";3;0;14;1;1;0;0;19
"21";"120070";1;0;9;3;0;0;4;17
"22";"120080";0;0;31;0;0;0;0;31
"23";"270010";2;0;5;0;2;0;0;9
"24";"270020";3;1;30;0;1;1;0;36
"25";"270030";67;50;256;182;26;17,5;43;641,5
"26";"270040";2;1;77;1;1;0;0;82
"27";"270050";2;0;35;2;2;0;2;43
"28";"270060";1;0;2;0;1;0;0;4
"29";"270070";2;2;18;0;1;0;9;32
"30";"270080";0;0;2;0;1;0;0;3
"31";"270090";1;0;14;0;0;0;0;15
"32";"270100";2,5;1;14;4;1,5;0;0;23
"33";"270110";1;0;42;0;2;0;0;45
"34";"270120";0;0;18;0;0;0;0;18
"35";"270130";2;0;8;2;1;0;1;14
"36";"270135";0;0;1;0;0;0;0;1
"37";"270140";2;0;4;0;1;0;0;7
"38";"270150";1;0;8;0;0;0;0;9
"39";"270160";0;0;3;0;0;0;0;3
"40";"270170";4;2;27;6;2;0;0;41
"41";"270180";0;0;2;0;0;0;0;2
"42";"270190";1;0;3;1;1;0;0;6
"43";"270200";0;0;2;0;1;0;0;3
"44";"270210";3;1;11;26;1;0;1;43
"45";"270220";1;0;2;0;1;0;0;4
"46";"270230";4;0;23;15;2;2;3;49
"47";"270235";0;0;8;0;0;0;2;10
"48";"270240";5;3;13;7;3;2;8;41
"49";"270250";0;0;6;0;1;0;0;7
"50";"270255";0;0;5;0;0;0;0;5
"51";"270260";1;0;4;0;1;0;0;6
"52";"270270";1;0;10;0;0;0;0;11
"53";"270280";3;0;25;0;1;0;0;29
"54";"270290";1;0;11;0;1;2;0;15
"55";"270300";0;0;29;0;0;0;0;29
"56";"270310";1;0;13;0;2;0;0;16
"57";"270320";2;0;26;5;1;0;0;34
"58";"270330";1;0;2;0;1;0;0;4
"59";"270340";1;0;15;0;1;0;0;17
"60";"270350";0;0;1;0;0;0;0;1
"61";"270360";0;0;8;0;0;0;0;8
"62";"270370";0;0;14;0;0;0;0;14
"63";"270375";2;0;5;0;2;0;0;9
"64";"270380";1;0;53;0;2;0;0;56
"65";"270390";1;0;2;0;1;0;0;4
"66";"270400";5;1;8;3;2;2;0;21
"67";"270410";4;0;9;5;2;0;0;20
"68";"270420";1;0;5;4;1;0;0;11
