"";"ID";"COD7D";"NM_MUNICIP";"Longitude";"Latitude";"COD6D"
"2179";"105";"2800308";"ARACAJU";-37,0949070793843;-10,9941557203917;"280030"
"1827";"170";"1501402";"BELÉM";-48,4599134326965;-1,2407107063437;"150140"
"1174";"680";"3106200";"BELO HORIZONTE";-43,9598835098085;-19,9027392965681;"310620"
"2160";"139";"1400100";"BOA VISTA";-60,7179531094783;3,11791494498717;"140010"
"06";"605";"5300108";"BRASÍLIA";-47,7973607131282;-15,7806923846889;"530010"
"1920";"159";"5002704";"CAMPO GRANDE";-54,249689215924;-20,9131688441298;"500270"
"3719";"255";"5103403";"CUIABÁ";-55,9389985847223;-15,4488917375832;"510340"
"9312";"271";"4106902";"CURITIBA";-49,2882634445805;-25,4778911816016;"410690"
"10014";"664";"4205407";"FLORIANÓPOLIS";-48,5090245683025;-27,578806590341;"420540"
"5812";"276";"2304400";"FORTALEZA";-38,5277011294773;-3,7856564940824;"230440"
"943";"453";"5208707";"GOIÂNIA";-49,2747930152656;-16,6430214835147;"520870"
"958";"487";"2507507";"JOÃO PESSOA";-34,8697841099032;-7,16540343315237;"250750"
"855";"303";"1600303";"MACAPÁ";-50,7009291808967;0,55500446991041;"160030"
"46";"47";"2704302";"MACEIÓ";-35,7103497616662;-9,52294835368016;"270430"
"3710";"112";"1302603";"MANAUS";-60,2596280142345;-2,62591938272673;"130260"
"8813";"313";"2408102";"NATAL";-35,2289134042738;-5,80318242358208;"240810"
"13218";"133";"1721000";"PALMAS";-48,1537569728225;-10,2184835849786;"172100"
"3243";"1194";"4314902";"PORTO ALEGRE";-51,1650672075483;-30,0953889830119;"431490"
"1650";"17";"1100205";"PORTO VELHO";-64,3066985100558;-9,15340476219171;"110020"
"13115";"533";"2611606";"RECIFE";-34,9331747283796;-8,03922542664247;"261160"
"14";"67";"1200401";"RIO BRANCO";-68,3710447619058;-10,0661478311006;"120040"
"6723";"1535";"3304557";"RIO DE JANEIRO";-43,4596714654887;-22,9272826849313;"330455"
"335";"922";"2927408";"SALVADOR";-38,5146612624084;-12,8734085283436;"292740"
"1852";"186";"2111300";"SÃO LUÍS";-44,3071276369796;-2,63147937844284;"211130"
"56210";"2289";"3550308";"SÃO PAULO";-46,6481108503732;-23,6500805401931;"355030"
"2155";"216";"2211001";"TERESINA";-42,7406992739507;-5,10251654120428;"221100"
"7712";"1081";"3205309";"VITÓRIA";-40,2955478969082;-20,2796793329226;"320530"
