"";"MUNIC_RES";"n";"total";"prop"
"1";110001;1036;2211;0,468566259611036
"2";110002;982;4111;0,238871320846509
"3";110003;178;458;0,388646288209607
"4";110004;1350;4433;0,304534175501917
"5";110005;878;1691;0,519219396806623
"6";110006;701;1841;0,380771319934818
"7";110007;249;490;0,508163265306122
"8";110008;107;256;0,41796875
"9";110009;496;1973;0,251393816523061
"10";110010;1070;2257;0,474080638015064
"11";110011;781;2044;0,382093933463796
"12";110012;2546;7053;0,360981142776124
"13";110013;800;1835;0,435967302452316
"14";110014;800;1662;0,481347773766546
"15";110015;1524;3301;0,4616782793093
"16";110018;1270;2752;0,461482558139535
"17";110020;2470;14000;0,176428571428571
"18";110025;597;1363;0,438004402054292
"19";110026;14;55;0,254545454545455
"20";110028;2078;4399;0,472380086383269
"21";110029;134;390;0,343589743589744
"22";110030;1641;4466;0,367442901925661
"23";110032;419;1562;0,268245838668374
"24";110033;440;1026;0,428849902534113
"25";110034;526;1490;0,353020134228188
"26";110037;539;1001;0,538461538461538
"27";110040;405;853;0,474794841735053
"28";110045;69;464;0,148706896551724
"29";110050;398;705;0,564539007092199
"30";110060;221;436;0,506880733944954
"31";110070;613;1090;0,562385321100917
"32";110080;95;559;0,16994633273703
"33";110090;73;167;0,437125748502994
"34";110092;83;243;0,34156378600823
"35";110094;173;460;0,376086956521739
"36";110100;422;828;0,509661835748792
"37";110110;36;190;0,189473684210526
"38";110120;330;678;0,486725663716814
"39";110130;522;1054;0,495256166982922
"40";110140;1672;2886;0,579348579348579
"41";110143;165;676;0,244082840236686
"42";110145;99;207;0,478260869565217
"43";110146;103;186;0,553763440860215
"44";110147;84;186;0,451612903225806
"45";110148;42;129;0,325581395348837
"46";110149;608;1238;0,491114701130856
"47";110150;272;932;0,291845493562232
"48";110155;175;347;0,504322766570605
"49";110160;242;547;0,442413162705667
"50";110170;296;829;0,357056694813028
"51";110175;130;312;0,416666666666667
"52";110180;267;554;0,481949458483755
"53";120001;161;618;0,260517799352751
"54";120005;124;464;0,267241379310345
"55";120010;336;997;0,337011033099298
"56";120013;36;189;0,19047619047619
"57";120017;48;202;0,237623762376238
"58";120020;2766;7152;0,386744966442953
"59";120025;185;528;0,350378787878788
"60";120030;197;787;0,250317662007624
"61";120032;23;111;0,207207207207207
"62";120033;232;647;0,358578052550232
"63";120034;363;823;0,441069258809235
"64";120035;91;364;0,25
"65";120038;534;1083;0,493074792243767
"66";120039;99;306;0,323529411764706
