"";"COD7D";"Municipio";"COD6D";"Aracaju";"Belem";"Belo_Horizonte";"Boa_Vista";"Brasilia";"Campo_Grande";"Cuiaba";"Curitiba";"Florianopolis";"Fortaleza";"Goiania";"Joao_Pessoa";"Macapa";"Maceio";"Manaus";"Natal";"Palmas";"Porto_Alegre";"Porto_Velho";"Recife";"Rio_Branco";"Rio_de_Janeiro";"Salvador";"Sao_Luis";"Sao_Paulo";"Teresina";"Vitoria";"LessDistant"
"0";"1200013";"ACRELÂNDIA";"120001";3269398,17297166;2261088,17572081;2703916,78105197;1600208,18354273;2175852,47086224;1824012,67760175;1342122,6941508;2537643,30108532;2748216,74122682;3212251,5881733;2052544,67160136;3543617,36873439;2141577,41109804;3427000,6455054;1095682,90894635;3526253,43712554;2060333,40902455;2769348,17485961;302815,684311576;3525596,49853938;156435,682712621;2884603,35825456;3118720,53474327;2630672,7399356;2637393,91744685;2723749,17624151;3079477,72243161;156,43568
"1";"1200054";"ASSIS BRASIL";"120005";3596382,23304533;2605473,81486025;2968380,24187399;1849520,46375731;2467701,13541192;2023740,76249903;1609808,82194847;2722876,59176056;2917909,32875292;3558144,05576809;2332622,49061291;3882198,66198266;2477350,68179286;3759072,15192085;1404321,35906198;3867956,45911496;2392414,81193485;2895373,89973333;650244,975448371;3861934,52653748;195604,641040505;3124121,15083899;3437390,46952023;2978095,72473938;2856656,82935709;3069275,71340648;3349485,65475001;195,60464
"2";"1200104";"BRASILÉIA";"120010";3509463,95090891;2523617,85476096;2889600,77442662;1798776,81635572;2384569,58263781;1955447,08118595;1529433,49097517;2658287,42778748;2856613,93255206;3471612,74037483;2251094,89495454;3794823,26803218;2399754,64376419;3671842,24880897;1335542,1092427;3780703,11833612;2305143,72171347;2843146,90978884;565554,099616;3774564,27492337;118570,823655574;3049672,40214213;3351195,99237253;2893196,52117042;2785701,10340118;2982638,51217736;3269958,96034734;118,57082
"3";"1200138";"BUJARI";"120013";3406201,19666394;2370966,7997932;2839768,38919208;1632819,03576019;2314209,39641816;1946966,8899751;1477416,33328813;2658313,52460974;2865369,9978055;3338621,22793564;2189923,61816002;3676516,40416301;2239245,20010669;3562511,51285243;1167743,93202529;3657202,86257495;2196205,84066932;2874991,043971;427793,246877201;3659560,48079979;54484,4790483365;3016767,79401409;3256790,31960198;2750474,03238302;2765620,57140413;2850883,78070878;3216117,36276335;54,48448
"4";"1200179";"CAPIXABA";"120017";3361640,13702498;2374046,23662125;2765188,2018745;1697459,19350172;2249279,56051533;1856789,84052765;1402758,86182405;2566188,825781;2771143,40215465;3318521,9740011;2120258,75577477;3643342,59401998;2255508,86440599;3522347,84596635;1205900,78707115;3628386,6229293;2155465,73746534;2776240,17876367;413782,568358315;3623741,28570632;73935,1601986146;2935340,69628148;3206245,07133817;2740715,12376413;2679537,7945712;2829572,64679738;3143473,44073892;73,93516
"5";"1200203";"CRUZEIRO DO SUL";"120020";3927731,8672032;2795055,24153617;3372155,95507106;1813970,18118991;2849929,76368577;2451359,67271837;2009591,57051677;3153827,72143784;3350478,67180848;3816942,01027596;2724923,14859895;4180383,80099673;2622927,41093873;4077890,90168137;1505459,48429256;4152983,75886279;2715057,13763575;3327107,46409066;939132,235926211;4168004,36255856;534747,248547727;3541026,3988175;3784999,04455456;3206729,79003094;3280554,13687412;3333853,66139227;3749859,4102249;534,74725
"6";"1200252";"EPITACIOLÂNDIA";"120025";3444177,94025006;2470925,0558664;2824230,50923904;1779116,81833891;2318255,3693735;1894617,33599423;1463673,19499795;2599189,26998138;2799237,94236904;3411218,35523855;2185026,59770394;3731347,28710634;2352462,32956167;3607156,29644351;1298987,64958254;3718135,5966297;2240606,15871829;2790962,40191509;510143,858282623;3710593,38542293;94946,012000133;2985863,73038065;3285289,1713468;2835946,73286214;2723434,90910091;2922021,37414782;3204356,79293716;94,94601
"7";"1200302";"FEIJÓ";"120030";3695046,99833075;2611157,96679634;3127026,34548063;1735343,22448371;2606079,58399569;2212248,82484313;1764455,41283345;2917809,14544286;3117913,46648911;3607705,20835403;2480093,54901169;3957847,40050605;2457518,44414838;3848870,74867197;1353658,16071822;3934805,29625749;2483661,87532423;3105834,75735364;708286,487856413;3942937,39651944;289619,741447863;3297132,95326244;3548047,73948466;3008001,0327508;3038899,23983676;3121905,27012808;3504748,5707437;289,61974
"8";"1200328";"JORDÃO";"120032";3818164,09607779;2743486,30283557;3227588,07103558;1846347,64670655;2715977,18582256;2292156,06694566;1866266,61844265;2991720,17896008;3186278,17395101;3738716,39227547;2585949,35585683;4085666,40838146;2588483,00344719;3974027,24065971;1482046,90123827;4063939,56275723;2607966,70669114;3159388,4730222;835197,573054175;4069832,26405391;398528,078418116;3389086,57419676;3667961,77017141;3140157,04553135;3124115,13147851;3252536,40890176;3607219,88953806;398,52808
"9";"1200336";"MÂNCIO LIMA";"120033";4009697,54448241;2856341,18041265;3462697,10109856;1837493,32375973;2938611,1694281;2542685,83073282;2100097,5153375;3244759,1084633;3440845,25722552;3888092,58817945;2814610,77791761;4257386,85387437;2677102,75484858;4158004,15645265;1557377,56713931;4227990,69217855;2796692,14003598;3415177,36178458;1022287,98978473;4246198,25761249;625390,334115533;3632365,23354012;3869228,73491184;3273729,55564116;3372026,22208314;3406403,58913068;3840079,03353642;625,39033
"10";"1200344";"MANOEL URBANO";"120034";3592303,19956007;2534494,53484204;3016876,68544613;1713909,61652944;2497056,25673782;2104313,64012731;1654321,02841089;2811114,24431371;3012706,84254792;3517204,94580386;2370350,61201113;3860379,41433508;2390524,99664955;3748044,80309179;1298059,41572436;3839590,69336929;2381976,2824759;3005734,93920796;610002,576129606;3844160,01928874;179475,29802309;3187207,55053386;3443006,6310292;2923283,77050453;2929809,52509092;3030284,12801831;3394706,70534003;179,4753
