"";"IdadeT";"ICSAPn";"ITn";"ICSAPprop"
"1";0;159262;534117;0,298178114532958
"2";1;125493;255318;0,491516461824078
"3";2;76385;170808;0,447198023511779
"4";3;54143;134345;0,40301462652127
"5";4;42748;114933;0,371938433696153
"6";5;35352;102070;0,346350543744489
"7";6;28063;87445;0,320921722225399
"8";7;23633;78332;0,30170300771077
"9";8;21155;73636;0,287291542180455
"10";9;19248;69313;0,277696824549507
"11";10;17925;68697;0,260928424822045
"12";11;15193;62638;0,242552444203199
"13";12;13456;59858;0,224798690233553
"14";13;11381;56992;0,199694693992139
"15";14;12245;63190;0,193780661497072
"16";15;13778;74820;0,184148623362737
"17";16;15152;86566;0,175034078044498
"18";17;16248;96633;0,168141318183229
"19";18;16817;106211;0,158335765598667
"20";19;17177;112039;0,153312685761208
"21";20;17655;119624;0,147587440647362
"22";21;17625;127069;0,138704168601311
"23";22;18077;129071;0,140054698576752
"24";23;17674;127791;0,138303949417408
"25";24;17695;129199;0,136959264390591
"26";25;17189;129039;0,133207789892978
"27";26;17164;128930;0,133126502753432
"28";27;17708;134729;0,131434212381893
"29";28;17711;135034;0,131159559814565
"30";29;16798;128321;0,130906087078498
"31";30;17219;129101;0,133376193832736
"32";31;16438;123552;0,133045195545196
"33";32;16340;120792;0,135273859195973
"34";33;15641;115670;0,135220887006138
"35";34;15816;113512;0,13933328634858
"36";35;15766;112753;0,139827765114897
"37";36;15321;108189;0,141613287857361
"38";37;15657;108753;0,143968442249869
"39";38;15392;106019;0,145181524066441
"40";39;15822;105540;0,149914724275156
"41";40;16923;108330;0,15621711437275
"42";41;17614;107859;0,163305797383621
"43";42;18047;107855;0,16732650317556
"44";43;18424;107238;0,171804770696954
"45";44;19333;109155;0,177115111538638
"46";45;20199;109860;0,183861277990169
"47";46;21250;112191;0,189409132639873
"48";47;21581;110893;0,194611021435077
"49";48;21892;108343;0,202061969854998
"50";49;23034;108568;0,212161963009358
"51";50;24406;109914;0,222046327128482
"52";51;24670;107221;0,23008552429095
"53";52;26504;111111;0,238536238536239
"54";53;26337;107260;0,245543539063957
"55";54;27071;106738;0,253621015945586
"56";55;27456;105789;0,25953549045742
"57";56;28616;106795;0,267952619504658
"58";57;28480;103927;0,274038507798743
"59";58;29255;103918;0,28152004465059
"60";59;29679;102835;0,288607964214518
"61";60;31533;104746;0,301042521910145
"62";61;30004;99684;0,300991131977047
"63";62;31828;101887;0,312385289585521
"64";63;31312;98929;0,316509820174064
"65";64;30611;94201;0,324954087536226
"66";65;31540;95157;0,331452231575186
"67";66;32537;96678;0,336550197563044
"68";67;32941;94941;0,346962850612486
"69";68;31494;89752;0,350900258490062
"70";69;32332;89792;0,360076621525303
"71";70;36256;97812;0,370670265407108
"72";71;34450;91678;0,375771722768821
"73";72;33278;87722;0,379357515788514
"74";73;33550;86110;0,389617930553943
"75";74;34947;88637;0,394271015490145
"76";75;32221;81298;0,396332013087653
"77";76;30006;75190;0,399069025136321
"78";77;30844;74917;0,411708957913424
"79";78;30463;73177;0,416292004318297
"80";79;29555;70954;0,416537474983792
"81";80;28786;67688;0,425274790213923
"82";81;25814;60170;0,429017782948313
"83";82;24167;55667;0,434135124939372
"84";83;22299;51709;0,431240209634686
"85";84;20562;46774;0,439603198358062
"86";85;18973;42660;0,444749179559306
"87";86;16398;36675;0,447116564417178
"88";87;14171;31978;0,443148414534993
"89";88;11998;27039;0,443729427863456
"90";89;10348;22800;0,453859649122807
"91";90;9081;20169;0,450245426149041
"92";91;7476;16348;0,457303645705897
"93";92;6250;13848;0,451328711727325
"94";93;4954;10825;0,457644341801386
"95";94;4133;9286;0,445078612965755
"96";95;3270;7194;0,454545454545455
"97";96;2481;5242;0,473292636398321
"98";97;1840;4079;0,451090953665114
"99";98;1337;3034;0,44067237969677
"100";99;1164;2519;0,462088130210401
"101";100;948;2131;0,444861567339277
"102";101;416;958;0,434237995824635
"103";102;326;737;0,442333785617368
"104";103;315;689;0,457184325108853
"105";104;223;542;0,411439114391144
"106";105;129;300;0,43
"107";106;71;139;0,510791366906475
"108";107;49;112;0,4375
"109";108;25;71;0,352112676056338
"110";109;31;88;0,352272727272727
"111";110;47;184;0,255434782608696
"112";112;0;1;0
