"";"SEXO";"IdadeT";"ICSAPn";"ITn";"ICSAPprop"
"1";1;0;89187;295248;0,302074865875467
"2";1;1;67186;141106;0,476138505804147
"3";1;2;40169;94688;0,424224822575194
"4";1;3;28495;75563;0,377102550189908
"5";1;4;22590;65167;0,346647843233538
"6";1;5;18433;58438;0,315428317190869
"7";1;6;14900;50857;0,292978351062784
"8";1;7;12389;45759;0,270744552984112
"9";1;8;11142;43360;0,256964944649446
"10";1;9;10221;41090;0,248746653687028
"11";1;10;9282;40512;0,229117298578199
"12";1;11;7923;37290;0,212469831053902
"13";1;12;7012;36250;0,193434482758621
"14";1;13;5477;33561;0,163195375584756
"15";1;14;4913;32095;0,15307680324038
"16";1;15;4651;31658;0,146913892223135
"17";1;16;4383;31823;0,137730572227634
"18";1;17;4447;33830;0,131451374519657
"19";1;18;4528;36808;0,123016735492284
"20";1;19;4786;39305;0,121765678666836
"21";1;20;4838;41463;0,116682343294021
"22";1;21;5036;44431;0,113344286646711
"23";1;22;5369;44957;0,119425228551727
"24";1;23;5211;44802;0,116311771795902
"25";1;24;5440;45182;0,120401929972113
"26";1;25;5293;44730;0,118332215515314
"27";1;26;5385;45399;0,118614947465803
"28";1;27;5819;48128;0,120906748670213
"29";1;28;6058;49263;0,122972616365223
"30";1;29;5810;47489;0,122344121796627
"31";1;30;6208;48671;0,127550286618315
"32";1;31;6018;47221;0,127443298532433
"33";1;32;6208;47256;0,131369561537159
"34";1;33;6231;46449;0,134147129109346
"35";1;34;6239;45896;0,135937772354889
"36";1;35;6439;46666;0,13798054257918
"37";1;36;6394;44966;0,142196326113063
"38";1;37;6621;46005;0,143919139223997
"39";1;38;6711;45902;0,146202779835301
"40";1;39;6932;46287;0,14976127206343
"41";1;40;7769;48519;0,160122838475649
"42";1;41;8083;48800;0,165635245901639
"43";1;42;8258;49464;0,166949700792496
"44";1;43;8570;49482;0,173194292874176
"45";1;44;9097;50994;0,17839353649449
"46";1;45;9528;51520;0,184937888198758
"47";1;46;10073;53070;0,189805916713774
"48";1;47;10475;52906;0,197992666238234
"49";1;48;10757;51926;0,207160189500443
