"";"COD6D";"COD7D";"Município";"population.Homens";"icsap_n.Homens";"it_n.Homens";"icsap_prop.Homens";"icsap_rate.Homens";"population.Mulheres";"icsap_n.Mulheres";"it_n.Mulheres";"icsap_prop.Mulheres";"icsap_rate.Mulheres";"icsap_prop_ratio";"icsap_rate_ratio"
"1";"110001";"1100015";"Alta Floresta D'Oeste (RO)";12656;507;1078;0,470315398886827;400,600505689001;11736;529;1133;0,466902030008826;450,749829584185;0,992742383332376;1,12518537341567
"3";"110002";"1100023";"Ariquemes (RO)";45543;448;2053;0,218217243058938;98,3685747535296;44810;534;2058;0,259475218658892;119,169828163356;1,18906835693461;1,21146238483119
"5";"110003";"1100031";"Cabixi (RO)";3266;76;197;0,385786802030457;232,700551132884;3047;102;261;0,390804597701149;334,755497210371;1,01300665456745;1,43856770248562
"7";"110004";"1100049";"Cacoal (RO)";39124;659;2085;0,316067146282974;168,438809937634;39450;691;2348;0,294293015332198;175,158428390368;0,931109160800656;1,03989352842864
"9";"110005";"1100056";"Cerejeiras (RO)";8551;366;734;0,498637602179836;428,020114606479;8478;512;957;0,535005224660397;603,916017928757;1,07293397513861;1,41095242330841
"11";"110006";"1100064";"Colorado do Oeste (RO)";9330;286;877;0,326111744583808;306,538049303323;9261;415;964;0,430497925311203;448,115754238203;1,32009328845428;1,46186013532952
"13";"110007";"1100072";"Corumbiara (RO)";4711;98;213;0,460093896713615;208,023774145617;4072;151;277;0,545126353790614;370,825147347741;1,18481544242246;1,78260945832164
"15";"110008";"1100080";"Costa Marques (RO)";7202;56;131;0,427480916030534;77,7561788392113;6476;51;125;0,408;78,7523162445954;0,954428571428571;1,01281103855996
"17";"110009";"1100098";"Espigão D'Oeste (RO)";14606;257;992;0,259072580645161;175,955086950568;14123;239;981;0,243628950050968;169,227501239113;0,940388787745372;0,961765324162837
"19";"110010";"1100106";"Guajará-Mirim (RO)";20947;513;958;0,535490605427975;244,903804840789;20709;557;1299;0,428791377983064;268,965184219422;0,80074491249079;1,09824828729907
"21";"110011";"1100114";"Jaru (RO)";26005;326;970;0,336082474226804;125,360507594693;26000;455;1074;0,42364990689013;175;1,26055340393689;1,39597392638037
"23";"110012";"1100122";"Ji-Paraná (RO)";57824;1175;3484;0,337256027554535;203,202822357499;58786;1371;3569;0,384141216026898;233,218793590311;1,13901957160656;1,14771434217584
"25";"110013";"1100130";"Machadinho D'Oeste (RO)";16536;404;962;0,41995841995842;244,315432994678;14599;396;873;0,45360824742268;271,251455579149;1,08012656935797;1,11025100729129
"27";"110014";"1100148";"Nova Brasilândia D'Oeste (RO)";10344;401;817;0,490820073439412;387,664346481052;9530;399;845;0,472189349112426;418,677859391396;0,962041641458484;1,08000094203107
"29";"110015";"1100155";"Ouro Preto do Oeste (RO)";18698;723;1498;0,482643524699599;386,672371376618;19230;801;1803;0,444259567387687;416,536661466459;0,920471413480989;1,07723409351312
"31";"110018";"1100189";"Pimenta Bueno (RO)";17041;613;1380;0,444202898550725;359,720673669386;16781;657;1372;0,478862973760933;391,514212502235;1,07802757551401;1,08838396333615
"33";"110020";"1100205";"Porto Velho (RO)";217618;1176;6575;0,178859315589354;54,0396474556333;210909;1294;7425;0,174276094276094;61,3534747213253;0,97437527199432;1,13534187601236
"35";"110025";"1100254";"Presidente Médici (RO)";11309;296;659;0,449165402124431;261,738438411884;11010;301;704;0,427556818181818;273,38782924614;0,951891699938575;1,04450775707588
"37";"110026";"1100262";"Rio Crespo (RO)";1767;8;28;0,285714285714286;45,2744765138653;1549;6;27;0,222222222222222;38,7346675274371;0,777777777777778;0,855551969012266
"39";"110028";"1100288";"Rolim de Moura (RO)";25170;1045;2231;0,468399820708203;415,176797775129;25478;1033;2168;0,476476014760148;405,44783734987;1,01724209466975;0,976566704889592
"41";"110029";"1100296";"Santa Luzia D'Oeste (RO)";4596;66;203;0,32512315270936;143,603133159269;4290;68;187;0,363636363636364;158,508158508159;1,11845730027548;1,10379317652045
"43";"110030";"1100304";"Vilhena (RO)";37782;666;2178;0,305785123966942;176,274416388757;38420;975;2288;0,426136363636364;253,774076002082;1,39358108108108;1,439653474401
"45";"110032";"1100320";"São Miguel do Guaporé (RO)";11328;226;788;0,286802030456853;199,505649717514;10500;193;774;0,249354005167959;183,809523809524;0,869429009169696;0,921324905183312
"47";"110033";"1100338";"Nova Mamoré (RO)";11735;205;442;0,463800904977376;174,691095014913;10811;235;584;0,402397260273973;217,37119600407;0,86760775141998;1,2443175537111
"49";"110034";"1100346";"Alvorada D'Oeste (RO)";8678;257;693;0,370851370851371;296,151186909426;8175;269;797;0,337515683814304;329,051987767584;0,91011038475997;1,11109461083545
"51";"110037";"1100379";"Alto Alegre dos Parecis (RO)";6739;220;438;0,502283105022831;326,457931443834;6077;319;563;0,566607460035524;524,930064176403;1,12806394316163;1,60795622840217
"53";"110040";"1100403";"Alto Paraíso (RO)";9022;202;456;0,442982456140351;223,897140323653;8113;203;397;0,511335012594458;250,215703192407;1,15430082051026;1,11754756148609
"55";"110045";"1100452";"Buritis (RO)";16741;28;270;0,103703703703704;16,72540469506;15642;41;194;0,211340206185567;26,2114819076844;2,0379234167894;1,56716578077338
"57";"110050";"1100502";"Novo Horizonte do Oeste (RO)";5336;194;347;0,559077809798271;363,568215892054;4904;204;358;0,569832402234637;415,986949429038;1,01923630708979;1,14417853719245
"59";"110060";"1100601";"Cacaulândia (RO)";2965;102;226;0,451327433628319;344,013490725126;2771;119;210;0,566666666666667;429,447852760736;1,25555555555556;1,24834596415253
"61";"110070";"1100700";"Campo Novo de Rondônia (RO)";6768;305;541;0,563770794824399;450,65011820331;5897;308;549;0,561020036429873;522,299474308971;0,995120785929708;1,15899109577807
"63";"110080";"1100809";"Candeias do Jamari (RO)";10320;50;269;0,185873605947955;48,4496124031008;9459;45;290;0,155172413793103;47,5737392959087;0,834827586206897;0,981921979067555
"65";"110090";"1100908";"Castanheiras (RO)";1829;45;95;0,473684210526316;246,03608529251;1746;28;72;0,388888888888889;160,366552119129;0,820987654320988;0,651800941835306
"67";"110092";"1100924";"Chupinguaia (RO)";4415;28;120;0,233333333333333;63,4201585503964;3886;55;123;0,447154471544715;141,533710756562;1,91637630662021;2,23168333210793
"69";"110094";"1100940";"Cujubim (RO)";8456;93;259;0,359073359073359;109,981078524125;7398;80;201;0,398009950248756;108,137334414707;1,10843631305836;0,983235806248129
"71";"110100";"1101005";"Governador Jorge Teixeira (RO)";5470;216;442;0,48868778280543;394,881170018282;5042;206;386;0,533678756476684;408,568028560095;1,09206486279025;1,03466070195543
"73";"110110";"1101104";"Itapuã do Oeste (RO)";4565;20;102;0,196078431372549;43,8116100766703;4001;16;88;0,181818181818182;39,9900024993752;0,927272727272727;0,912771807048238
"75";"110120";"1101203";"Ministro Andreazza (RO)";5304;167;337;0,495548961424332;314,856711915535;5048;163;341;0,478005865102639;322,900158478605;0,964598661913709;1,02554637159912
"77";"110130";"1101302";"Mirante da Serra (RO)";6049;277;554;0,5;457,926930071086;5829;245;500;0,49;420,31223194373;0,98;0,917858733222968
"79";"110140";"1101401";"Monte Negro (RO)";7408;749;1346;0,556463595839525;1011,06911447084;6683;923;1540;0,599350649350649;1381,11626515038;1,07707072633641;1,36599590016476
