"";"IdadeT";"SEXO";"icsap_n";"it_n";"icsap_prop"
"1";0;1;89187;295248;0,302074865875467
"2";0;3;70075;238869;0,293361633363894
"3";1;1;67186;141106;0,476138505804147
"4";1;3;58307;114212;0,510515532518474
"5";2;1;40169;94688;0,424224822575194
"6";2;3;36216;76120;0,475775091960063
"7";3;1;28495;75563;0,377102550189908
"8";3;3;25648;58782;0,436324044775612
"9";4;1;22590;65167;0,346647843233538
"10";4;3;20158;49766;0,405055660491098
"11";5;1;18433;58438;0,315428317190869
"12";5;3;16919;43632;0,387765859919325
"13";6;1;14900;50857;0,292978351062784
"14";6;3;13163;36588;0,359762763747677
"15";7;1;12389;45759;0,270744552984112
"16";7;3;11244;32573;0,345193872225463
"17";8;1;11142;43360;0,256964944649446
"18";8;3;10013;30276;0,330724005813185
"19";9;1;10221;41090;0,248746653687028
"20";9;3;9027;28223;0,319845516068455
"21";10;1;9282;40512;0,229117298578199
"22";10;3;8643;28185;0,306652474720596
"23";11;1;7923;37290;0,212469831053902
"24";11;3;7270;25348;0,286807637683446
"25";12;1;7012;36250;0,193434482758621
"26";12;3;6444;23608;0,272958319213826
"27";13;1;5477;33561;0,163195375584756
"28";13;3;5904;23431;0,251973880756263
"29";14;1;4913;32095;0,15307680324038
"30";14;3;7332;31095;0,235793535938254
"31";15;1;4651;31658;0,146913892223135
"32";15;3;9127;43162;0,211459153885362
"33";16;1;4383;31823;0,137730572227634
"34";16;3;10769;54743;0,196719215242131
"35";17;1;4447;33830;0,131451374519657
"36";17;3;11801;62803;0,187905036383612
"37";18;1;4528;36808;0,123016735492284
"38";18;3;12289;69403;0,177067273748973
"39";19;1;4786;39305;0,121765678666836
"40";19;3;12391;72734;0,170360491654522
"41";20;1;4838;41463;0,116682343294021
"42";20;3;12817;78161;0,163982037077315
"43";21;1;5036;44431;0,113344286646711
"44";21;3;12589;82638;0,152339117597231
"45";22;1;5369;44957;0,119425228551727
"46";22;3;12708;84114;0,151080676225123
"47";23;1;5211;44802;0,116311771795902
"48";23;3;12463;82989;0,150176529419562
"49";24;1;5440;45182;0,120401929972113
"50";24;3;12255;84017;0,145863337181761
"51";25;1;5293;44730;0,118332215515314
"52";25;3;11896;84309;0,141100001186113
"53";26;1;5385;45399;0,118614947465803
"54";26;3;11779;83531;0,14101351594019
"55";27;1;5819;48128;0,120906748670213
"56";27;3;11889;86601;0,137284788859251
"57";28;1;6058;49263;0,122972616365223
"58";28;3;11653;85771;0,135861771461217
"59";29;1;5810;47489;0,122344121796627
"60";29;3;10988;80832;0,135936262866192
"61";30;1;6208;48671;0,127550286618315
"62";30;3;11011;80430;0,136901653611836
"63";31;1;6018;47221;0,127443298532433
"64";31;3;10420;76331;0,136510723035202
