"";"COD6D";"race";"COD7D";"Municipio";"population";"icsap_n";"it_n";"icsap_prop";"icsap_rate"
"1";"110001";"Amarela";"1100015";"Alta Floresta D'Oeste (RO)";179;1;1;1;55,8659217877095
"2";"110001";"Branca";"1100015";"Alta Floresta D'Oeste (RO)";10349;492;945;0,520634920634921;475,408252005025
"3";"110001";"Indígena";"1100015";"Alta Floresta D'Oeste (RO)";436;42;82;0,51219512195122;963,302752293578
"4";"110001";"NI";"1100015";"Alta Floresta D'Oeste (RO)";0;77;244;0,315573770491803;Inf
"5";"110001";"Parda";"1100015";"Alta Floresta D'Oeste (RO)";12269;371;845;0,43905325443787;302,388132692151
"6";"110001";"Preta";"1100015";"Alta Floresta D'Oeste (RO)";1159;53;94;0,563829787234043;457,290767903365
"7";"110002";"Amarela";"1100023";"Ariquemes (RO)";1453;0;0;NA;0
"8";"110002";"Branca";"1100023";"Ariquemes (RO)";33561;11;112;0,0982142857142857;3,27761389708292
"9";"110002";"Indígena";"1100023";"Ariquemes (RO)";202;0;0;NA;0
"10";"110002";"NI";"1100023";"Ariquemes (RO)";6;50;336;0,148809523809524;83333,3333333333
"11";"110002";"Parda";"1100023";"Ariquemes (RO)";47515;919;3650;0,251780821917808;193,412606545301
"12";"110002";"Preta";"1100023";"Ariquemes (RO)";7616;2;13;0,153846153846154;2,62605042016807
"13";"110003";"Amarela";"1100031";"Cabixi (RO)";88;2;2;1;227,272727272727
"14";"110003";"Branca";"1100031";"Cabixi (RO)";2948;67;140;0,478571428571429;227,272727272727
"15";"110003";"Indígena";"1100031";"Cabixi (RO)";2;0;1;0;0
"16";"110003";"NI";"1100031";"Cabixi (RO)";0;43;122;0,352459016393443;Inf
"17";"110003";"Parda";"1100031";"Cabixi (RO)";2813;64;190;0,336842105263158;227,515108425169
"18";"110003";"Preta";"1100031";"Cabixi (RO)";462;2;3;0,666666666666667;43,2900432900433
"19";"110004";"Amarela";"1100049";"Cacoal (RO)";1006;3;9;0,333333333333333;29,8210735586481
"20";"110004";"Branca";"1100049";"Cacoal (RO)";33990;302;951;0,317560462670873;88,8496616651956
"21";"110004";"Indígena";"1100049";"Cacoal (RO)";1316;56;144;0,388888888888889;425,531914893617
"22";"110004";"NI";"1100049";"Cacoal (RO)";0;43;269;0,159851301115242;Inf
"23";"110004";"Parda";"1100049";"Cacoal (RO)";37740;919;2948;0,311736770691995;243,508214096449
"24";"110004";"Preta";"1100049";"Cacoal (RO)";4522;27;112;0,241071428571429;59,7080937638213
"25";"110005";"Amarela";"1100056";"Cerejeiras (RO)";170;0;0;NA;0
"26";"110005";"Branca";"1100056";"Cerejeiras (RO)";7808;49;100;0,49;62,7561475409836
"27";"110005";"Indígena";"1100056";"Cerejeiras (RO)";17;0;0;NA;0
"28";"110005";"NI";"1100056";"Cerejeiras (RO)";0;602;1094;0,550274223034735;Inf
