"";"COD7D";"COD6D";"Municipio";"population.Amarela";"icsap_n.Amarela";"it_n.Amarela";"icsap_prop.Amarela";"icsap_rate.Amarela";"population.Branca";"icsap_n.Branca";"it_n.Branca";"icsap_prop.Branca";"icsap_rate.Branca";"population.Indígena";"icsap_n.Indígena";"it_n.Indígena";"icsap_prop.Indígena";"icsap_rate.Indígena";"population.NI";"icsap_n.NI";"it_n.NI";"icsap_prop.NI";"icsap_rate.NI";"population.Parda";"icsap_n.Parda";"it_n.Parda";"icsap_prop.Parda";"icsap_rate.Parda";"population.Preta";"icsap_n.Preta";"it_n.Preta";"icsap_prop.Preta";"icsap_rate.Preta";"ICSAPprop";"ICSAPrate";"icsap_prop_ratio_amarela";"icsap_prop_ratio_branca";"icsap_prop_ratio_indigena";"icsap_prop_ratio_ni";"icsap_prop_ratio_parda";"icsap_prop_ratio_preta";"icsap_rate_ratio_amarela";"icsap_rate_ratio_branca";"icsap_rate_ratio_indigena";"icsap_rate_ratio_ni";"icsap_rate_ratio_parda";"icsap_rate_ratio_preta"
"1";"1100015";"110001";"Alta Floresta D'Oeste (RO)";179;1;1;1;55,8659217877095;10349;492;945;0,520634920634921;475,408252005025;436;42;82;0,51219512195122;963,302752293578;0;77;244;0,315573770491803;Inf;12269;371;845;0,43905325443787;302,388132692151;1159;53;94;0,563829787234043;457,290767903365;0,468566259611036;424,729419481797;2,13416988416988;1,11112336826622;1,09311140408701;0,673488037217545;0,937014233168079;1,20330855171281;0,131532969521796;1,11932027827284;2,26803868088272;Inf;0,711954761836578;1,07666374620646
"2";"1100023";"110002";"Ariquemes (RO)";1453;0;0;NA;0;33561;11;112;0,0982142857142857;3,27761389708292;202;0;0;NA;0;6;50;336;0,148809523809524;83333,3333333333;47515;919;3650;0,251780821917808;193,412606545301;7616;2;13;0,153846153846154;2,62605042016807;0,238871320846509;108,684825074984;NA;0,411159805062555;NA;0,622969401609932;1,0540437463382;0,644054519818268;0;0,0301570517762864;0;766,743041412082;1,77957324227979;0,0241620706327337
"3";"1100031";"110003";"Cabixi (RO)";88;2;2;1;227,272727272727;2948;67;140;0,478571428571429;227,272727272727;2;0;1;0;0;0;43;122;0,352459016393443;Inf;2813;64;190;0,336842105263158;227,515108425169;462;2;3;0,666666666666667;43,2900432900433;0,388646288209607;281,957864723586;2,57303370786517;1,23138041733547;0;0,90688892982133;0,866706091070373;1,71535580524345;0,806052093973443;0,806052093973443;0;Inf;0,80691173004949;0,153533732185418
"4";"1100049";"110004";"Cacoal (RO)";1006;3;9;0,333333333333333;29,8210735586481;33990;302;951;0,317560462670873;88,8496616651956;1316;56;144;0,388888888888889;425,531914893617;0;43;269;0,159851301115242;Inf;37740;919;2948;0,311736770691995;243,508214096449;4522;27;112;0,241071428571429;59,7080937638213;0,304534175501917;171,81255886171;1,09456790123457;1,04277446742221;1,27699588477366;0,524904309513976;1,02365118850194;0,791607142857144;0,173567483984979;0,517131356717117;2,47672182821119;Inf;1,41728995662329;0,347518796992481
"5";"1100056";"110005";"Cerejeiras (RO)";170;0;0;NA;0;7808;49;100;0,49;62,7561475409836;17;0;0;NA;0;0;602;1094;0,550274223034735;Inf;7924;223;492;0,453252032520325;281,423523472993;1110;4;5;0,8;36,036036036036;0,519219396806623;515,591050560808;NA;0,94372437357631;NA;1,05981060495642;0,872948960127415;1,54077448747153;0;0,121716906204489;0;Inf;0,545827013806561;0,0698926717149952
"6";"1100064";"110006";"Colorado do Oeste (RO)";242;1;1;1;41,3223140495868;7677;7;48;0,145833333333333;9,11814510876644;10;1;1;1;1000;0;583;1436;0,405988857938719;Inf;9349;108;352;0,306818181818182;115,520376510857;1313;1;3;0,333333333333333;7,61614623000762;0,380771319934818;377,06417083535;2,6262482168331;0,382994531621493;2,6262482168331;1,06622751421566;0,805780702891973;0,875416072277699;0,109589606347485;0,0241819451807528;2,65206847360913;Inf;0,3063679486039;0,0201985413070002
"7";"1100072";"110007";"Corumbiara (RO)";125;0;0;NA;0;3306;50;79;0,632911392405063;151,24016938899;16;0;4;0;0;0;41;88;0,465909090909091;Inf;4607;151;305;0,495081967213115;327,762101150423;729;7;14;0,5;96,0219478737997;0,508163265306122;283,50222019811;NA;1,2454882822429;0;0,916849215041987;0,97425768648364;0,983935742971888;0;0,533470846483332;0;Inf;1,1561182869093;0,338699103684973
"8";"1100080";"110008";"Costa Marques (RO)";126;6;10;0,6;476,190476190476;4395;8;17;0,470588235294118;18,2025028441411;224;0;0;NA;0;0;7;60;0,116666666666667;Inf;7921;84;160;0,525;106,047216260573;1012;2;9;0,222222222222222;19,7628458498024;0,41796875;78,2278110834917;1,43551401869159;1,1258933479934;NA;0,279127725856698;1,25607476635514;0,531671858774662;6,08722741433022;0,232685826076787;0;Inf;1,35562039627301;0,252631967788408
"9";"1100098";"110009";"Espigão D'Oeste (RO)";435;0;0;NA;0;13090;395;1532;0,257832898172324;301,757066462949;391;47;129;0,364341085271318;1202,04603580563;0;15;97;0,154639175257732;Inf;13130;39;207;0,188405797101449;29,7029702970297;1683;0;8;0;0;0,251393816523061;172,647847123116;NA;1,02561352438306;1,44928419604901;0,615127203192552;0,749444834034597;0;0;1,7478182988738;6,96241543602013;Inf;0,172043676141808;0
"10";"1100106";"110010";"Guajará-Mirim (RO)";623;0;0;NA;0;8920;2;25;0,08;2,24215246636771;3998;198;395;0,50126582278481;495,247623811906;0;37;194;0,190721649484536;Inf;25010;830;1637;0,507025045815516;331,867253098761;3105;3;6;0,5;9,66183574879227;0,474080638015064;256,865757633954;NA;0,168747663551402;1,05734295516385;0,402297909239811;1,06949114804264;1,05467289719626;0;0,00872888814383304;1,92804065584194;Inf;1,29198713038149;0,0376143392478216
"11";"1100114";"110011";"Jaru (RO)";656;0;1;0;0;17095;20;70;0,285714285714286;11,6993272886809;67;2;5;0,4;298,507462686567;0;693;1607;0,431238332296204;Inf;29960;63;345;0,182608695652174;21,0280373831776;4227;3;16;0,1875;7,097232079489;0,382093933463796;150,177867512739;0;0,747759282970551;1,04686299615877;1,12861863151529;0,4779157156377;0,490717029449424;0;0,0779031390074073;1,98769277810691;Inf;0,140020881448419;0,047258841778979
"12";"1100122";"110012";"Ji-Paraná (RO)";1747;2;3;0,666666666666667;11,4481969089868;46199;63;240;0,2625;13,6366588021386;1130;16;30;0,533333333333333;141,592920353982;0;131;558;0,234767025089606;Inf;59943;2318;6165;0,375993511759935;386,700698997381;7591;16;57;0,280701754385965;21,0775918851271;0,360981142776124;218,334619672412;1,84681853888452;0,727184799685781;1,47745483110762;0,650358141381378;1,04158768202782;0,777607805846115;0,0524341807367226;0,0624576112693394;0,648513371660562;Inf;1,77113780479516;0,0965380200206079
"13";"1100130";"110013";"Machadinho D'Oeste (RO)";351;0;0;NA;0;9963;5;28;0,178571428571429;5,01856870420556;32;0;1;0;0;0;587;1255;0,467729083665339;Inf;18445;207;547;0,378427787934186;112,225535375441;2344;1;4;0,25;4,26621160409556;0,435967302452316;256,945559659547;NA;0,409598214285714;0;1,07285358565737;0,86801873857404;0,5734375;0;0,01953164207568;0;Inf;0,436767755489293;0,0166035622866894
"14";"1100148";"110014";"Nova Brasilândia D'Oeste (RO)";187;0;1;0;0;8225;14;69;0,202898550724638;17,0212765957447;69;0;0;NA;0;0;761;1522;0,5;Inf;10160;17;62;0,274193548387097;16,7322834645669;1233;8;8;1;64,882400648824;0,481347773766546;402,535976652913;0;0,421521739130435;NA;1,03875;0,569637096774194;2,0775;0;0,0422851063829788;0;Inf;0,0415671751968504;0,161184103811841
"15";"1100155";"110015";"Ouro Preto do Oeste (RO)";394;0;0;NA;0;13956;6;54;0,111111111111111;4,29922613929493;113;0;0;NA;0;0;1473;2948;0,49966078697422;Inf;20447;45;294;0,153061224489796;22,0081185503986;3018;0;5;0;0;0,4616782793093;401,813963298882;NA;0,240667833187518;NA;1,0822705103687;0,331532219186888;0;0;0,0106995438983713;0;Inf;0,0547719107860576;0
"16";"1100189";"110018";"Pimenta Bueno (RO)";475;0;0;NA;0;13502;4;48;0,0833333333333333;2,96252407050807;331;0;0;NA;0;0;1230;2452;0,50163132137031;Inf;17652;35;246;0,142276422764228;19,8277815544981;1862;1;6;0,166666666666667;5,37056928034372;0,461482558139535;375,495239784755;NA;0,180577427821522;NA;1,08699952473314;0,30830292554894;0,361154855643045;0;0,00788964481202553;0;Inf;0,0528043486406484;0,01430262946455
"17";"1100205";"110020";"Porto Velho (RO)";7531;2;12;0,166666666666667;2,65568981542956;124355;54;546;0,0989010989010989;4,342406819187;1411;1;13;0,0769230769230769;7,0871722182849;148;1392;7309;0,190450129976741;94054,0540540541;264639;999;6041;0,165369971858964;37,7495380499473;30443;22;79;0,278481012658228;7,22662024110633;0,176428571428571;57,6393086083257;0,944669365722;0,560573030208659;0,436001245717846;1,0794744209208;0,937319678552833;1,57843488956081;0,0460742829771896;0,0753375938059008;0,122957273246355;1631,76929642193;0,654926975381772;0,125376594820266
"18";"1100254";"110025";"Presidente Médici (RO)";261;0;0;NA;0;8687;102;212;0,481132075471698;117,416829745597;27;0;1;0;0;0;104;236;0,440677966101695;Inf;12278;379;892;0,424887892376682;308,682195797361;1066;12;22;0,545454545454545;112,570356472795;0,438004402054292;267,485102379139;NA;1,09846401820423;0;1,00610396615848;0,97005393184157;1,24531749657378;0;0,438965866514569;0;Inf;1,1540164033503;0,420847200354493
"19";"1100262";"110026";"Rio Crespo (RO)";19;0;0;NA;0;1399;0;7;0;0;1;0;0;NA;0;0;1;3;0,333333333333333;Inf;1665;12;44;0,272727272727273;72,0720720720721;232;1;1;1;43,1034482758621;0,254545454545455;42,2195416164053;NA;0;NA;1,30952380952381;1,07142857142857;3,92857142857142;0;0;0;Inf;1,70707850707851;1,02093596059113
"20";"1100288";"110028";"Rolim de Moura (RO)";669;1;3;0,333333333333333;14,9476831091181;20693;21;97;0,216494845360825;10,148359348572;83;0;1;0;0;0;2011;4078;0,493133889161354;Inf;26034;42;212;0,19811320754717;16,1327494814473;3169;3;8;0,375;9,46670874092774;0,472380086383269;410,282735744748;0,705646454924607;0,458306460414951;0;1,04393454206968;0,41939364773821;0,793852261790183;0,0364326397550824;0,0247350387048351;0;Inf;0,0393210536927981;0,0230736219591197
"21";"1100296";"110029";"Santa Luzia D'Oeste (RO)";183;0;1;0;0;3365;2;5;0,4;5,94353640416047;9;0;0;NA;0;0;129;362;0,356353591160221;Inf;4826;3;21;0,142857142857143;6,21632822213013;503;0;1;0;0;0,343589743589744;150,799009678145;0;1,16417910447761;NA;1,03714851158572;0,415778251599147;0;0;0,0394136302144553;0;Inf;0,0412226064043645;0
"22";"1100304";"110030";"Vilhena (RO)";789;0;2;0;0;34656;39;154;0,253246753246753;11,2534626038781;476;24;122;0,19672131147541;504,201680672269;0;111;454;0,244493392070485;Inf;36028;1462;3720;0,393010752688172;405,795492394804;4253;5;14;0,357142857142857;11,7564072419469;0,367442901925661;215,348678512375;0;0,689213893967092;0,53537926694039;0,665391522843865;1,06958319409225;0,971968312004874;0;0,0522569382901109;2,34132702441123;Inf;1,88436490624429;0,0545924280713489
"23";"1100320";"110032";"São Miguel do Guaporé (RO)";300;0;1;0;0;8419;13;40;0,325;15,4412638080532;126;0;0;NA;0;0;381;1391;0,273903666427031;Inf;11610;24;122;0,19672131147541;20,671834625323;1373;1;8;0,125;7,28332119446468;0,268245838668374;191,955286787612;0;1,21157517899761;NA;1,02109194978287;0,733362025118353;0,46599045346062;0;0,0804419824348892;0;Inf;0,107690884534976;0,0379428007238127
"24";"1100338";"110033";"Nova Mamoré (RO)";458;0;0;NA;0;6312;90;196;0,459183673469388;142,585551330798;310;36;68;0,529411764705882;1161,29032258065;0;55;167;0,329341317365269;Inf;14416;256;585;0,437606837606838;177,580466148724;1050;3;10;0,3;28,5714285714286;0,428849902534113;195,156568792691;NA;1,07073283858998;1,23449197860963;0,767964071856288;1,02041958041958;0,699545454545455;0;0,730621327341858;5,95055718475072;Inf;0,909938452224798;0,146402597402597
"25";"1100346";"110034";"Alvorada D'Oeste (RO)";216;0;0;NA;0;6197;3;14;0,214285714285714;4,84105212199451;15;0;0;NA;0;0;12;63;0,19047619047619;Inf;9283;510;1406;0,362731152204836;549,391360551546;1142;1;7;0,142857142857143;8,75656742556918;0,353020134228188;312,110603453391;NA;0,607007061379685;NA;0,539561832337498;1,02750839693005;0,404671374253123;0;0,0155106941847858;0;Inf;1,76024574132608;0,0280559754416573
"26";"1100379";"110037";"Alto Alegre dos Parecis (RO)";164;1;3;0,333333333333333;60,9756097560976;4707;105;163;0,644171779141104;223,072020395156;53;0;0;NA;0;0;75;207;0,36231884057971;Inf;7020;334;578;0,577854671280277;475,783475783476;872;24;50;0,48;275,229357798165;0,538461538461538;420,568039950062;0,61904761904762;1,19631901840491;NA;0,672877846790891;1,0731586752348;0,891428571428572;0,144983935924703;0,530406495989671;0;Inf;1,13128775985919;0,654422903439942
"27";"1100403";"110040";"Alto Paraíso (RO)";467;0;0;NA;0;6296;10;19;0,526315789473684;15,8831003811944;16;0;0;NA;0;0;8;69;0,115942028985507;Inf;9221;385;757;0,508586525759577;417,525214185012;1135;2;8;0,25;17,6211453744493;0,474794841735053;236,358330901663;NA;1,10851202079272;NA;0,244193952406513;1,07117112709363;0,526543209876543;0;0,0671992407485843;0;Inf;1,76649248026178;0,0745526730842444
"28";"1100452";"110045";"Buritis (RO)";513;1;1;1;19,4931773879142;12007;7;28;0,25;5,82993253935204;39;0;0;NA;0;0;16;130;0,123076923076923;Inf;17688;45;304;0,148026315789474;25,4409769335142;2136;0;1;0;0;0,148706896551724;21,3074761448908;6,72463768115943;1,68115942028986;NA;0,827647714604237;0,995423340961099;0;0,914851541091055;0,273609718002663;0;Inf;1,19399297976521;0
"29";"1100502";"110050";"Novo Horizonte do Oeste (RO)";67;0;0;NA;0;4235;9;31;0,290322580645161;21,2514757969303;30;0;0;NA;0;0;376;644;0,583850931677019;Inf;5135;13;30;0,433333333333333;25,3164556962025;773;0;0;NA;0;0,564539007092199;388,671875;NA;0,514264872750851;NA;1,03420830862386;0,767587939698492;NA;0;0,0546771638594389;0;Inf;0,0651358056103301;0
"30";"1100601";"110060";"Cacaulândia (RO)";99;0;0;NA;0;1884;34;67;0,507462686567164;180,467091295117;5;0;0;NA;0;0;13;33;0,393939393939394;Inf;3110;161;310;0,519354838709677;517,684887459807;638;13;26;0,5;203,761755485893;0,506880733944954;385,285913528591;NA;1,00114810562572;NA;0,777183600713013;1,02460954605167;0,986425339366516;0;0,468397844194023;0;Inf;1,34363824184138;0,528858565369722
