"";"2003"
"1";"X"
"2";"UF_ZI"
"3";"ANO_CMPT"
"4";"MES_CMPT"
"5";"ESPEC"
"6";"CGC_HOSP"
"7";"N_AIH"
"8";"IDENT"
"9";"CEP"
"10";"MUNIC_RES"
"11";"NASC"
"12";"SEXO"
"13";"UTI_MES_IN"
"14";"UTI_MES_AN"
"15";"UTI_MES_AL"
"16";"UTI_MES_TO"
"17";"MARCA_UTI"
"18";"UTI_INT_IN"
"19";"UTI_INT_AN"
"20";"UTI_INT_AL"
"21";"UTI_INT_TO"
"22";"PROC_REA"
"23";"VAL_SH"
"24";"VAL_SP"
"25";"VAL_SADT"
"26";"VAL_RN"
"27";"VAL_ORTP"
"28";"VAL_SANGUE"
"29";"VAL_SADTSR"
"30";"VAL_TRANSP"
"31";"VAL_OBSANG"
"32";"VAL_PED1AC"
"33";"VAL_TOT"
"34";"VAL_UTI"
"35";"US_TOT"
"36";"DT_INTER"
"37";"DT_SAIDA"
"38";"DIAG_PRINC"
"39";"DIAG_SECUN"
"40";"COBRANCA"
"41";"NATUREZA"
"42";"GESTAO"
"43";"MUNIC_MOV"
"44";"COD_IDADE"
"45";"IDADE"
"46";"DIAS_PERM"
"47";"MORTE"
"48";"COD_ARQ"
"49";"CONT"
"50";"NACIONAL"
"51";"NUM_PROC"
"52";"CAR_INT"
"53";"TOT_PT_SP"
"54";"CPF_AUT"
"55";"HOMONIMO"
"56";"NUM_FILHOS"
"57";"INSTRU"
"58";"CID_NOTIF"
"59";"CONTRACEP1"
"60";"CONTRACEP2"
"61";"GESTRISCO"
"62";"INSC_PN"
"63";"SEQ_AIH5"
"64";"CBOR"
"65";"CNAER"
"66";"VINCPREV"
"67";"GESTOR_COD"
"68";"GESTOR_CPF"
"69";"GESTOR_DT"
"70";"CNES"
