"";"COD6D";"QT_EXIST";"QT_CONTR";"QT_SUS";"QT_NSUS"
"1";"120001";19;0;19;0
"2";"120005";12;0;12;0
"3";"120010";37,5;0;37,5;0
"4";"120020";274;0;254;20
"5";"120030";38;0;38;0
"6";"120032";10;0;10;0
"7";"120033";18;0;18;0
"8";"120034";19;0;19;0
"9";"120035";14;0;14;0
"10";"120038";43;0;43;0
"11";"120039";8;0;8;0
"12";"120040";914;0;775;139
"13";"120042";17;0;17;0
"14";"120043";8;0;8;0
"15";"120045";38;0;38;0
"16";"120050";54;0;54;0
"17";"120060";47;0;47;0
"18";"120070";29;0;29;0
"19";"270010";32;0;32;0
"20";"270020";25;0;25;0
"21";"270030";884;0;769;115
"22";"270040";82;0;82;0
"23";"270070";42;0;42;0
"24";"270100";28;0;28;0
"25";"270120";3;0;3;0
"26";"270130";33;0;33;0
"27";"270140";40;0;40;0
"28";"270170";37;0;37;0
"29";"270190";8;0;8;0
"30";"270210";35;0;35;0
"31";"270230";225;0;225;0
"32";"270235";13;0;8;5
"33";"270240";46;0;46;0
"34";"270260";10;0;10;0
"35";"270280";16;0;16;0
"36";"270290";48;0;48;0
"37";"270310";14;0;14;0
"38";"270380";41;0;41;0
"39";"270400";36;0;36;0
"40";"270420";17,5;0;17,5;0
"41";"270430";3482;0;2720;766
"42";"270440";34;0;34;0
"43";"270450";8;0;8;0
"44";"270470";14;0;14;0
"45";"270500";36;0;36;0
"46";"270510";23;0;23;0
"47";"270550";54;0;54;0
"48";"270570";47;0;46;1
"49";"270630";165;0;132;33
"50";"270640";54;0;54;0
"51";"270650";28;0;28;0
"52";"270660";16;0;16;0
"53";"270670";200;0;164;36
"54";"270680";17;0;17;0
"55";"270690";41;0;41;0
"56";"270710";49;0;49;0
"57";"270730";40;0;40;0
"58";"270760";28;0;28;0
"59";"270770";137;0;137;0
"60";"270800";144;0;138;6
"61";"270820";26;0;26;0
"62";"270830";50;0;50;0
"63";"270840";20;0;20;0
"64";"270850";25;0;25;0
"65";"270860";115;0;95;20
"66";"270880";8;0;8;0
"67";"270910";5;0;5;0
"68";"270915";40;0;40;0
"69";"270920";9;0;9;0
"70";"270930";110;0;94;16
"71";"270940";40;0;40;0
"72";"270375";2;0;2;0
"73";"270410";3;0;3;0
"74";"130002";20;0;20;0
"75";"130006";15;0;15;0
"76";"130008";20;0;20;0
"77";"130010";23;0;23;0
"78";"130014";44;0;44;0
"79";"130020";31;0;31;0
"80";"130030";33;0;33;0
"81";"130040";30;0;30;0
"82";"130050";19;0;19;0
"83";"130060";38;0;38;0
"84";"130063";30;0;30;0
"85";"130068";20;0;20;0
"86";"130070";60;0;60;0
"87";"130080";48;0;48;0
"88";"130083";14;0;14;0
"89";"130090";16;0;16;0
"90";"130100";40;0;40;0
"91";"130110";20;0;20;0
"92";"130120";86;0;86;0
"93";"130130";44;0;44;0
"94";"130140";80;0;80;0
"95";"130150";21;0;21;0
"96";"130160";46;0;46;0
"97";"130165";20;0;20;0
"98";"130170";72;0;72;0
"99";"130180";26;0;26;0
"100";"130185";19;0;19;0
"101";"130190";106;0;106;0
"102";"130195";15;0;15;0
"103";"130200";24;0;24;0
"104";"130210";4;0;4;0
"105";"130220";20;0;20;0
"106";"130230";19;0;19;0
"107";"130240";50;0;50;0
"108";"130250";86;0;86;0
"109";"130255";12;0;12;0
"110";"130260";4266;0;3284;989,5
"111";"130270";60;0;60;0
"112";"130280";21;0;21;0
"113";"130290";66;0;66;0
"114";"130300";30;0;30;0
"115";"130310";30;0;30;0
"116";"130320";36;0;36;0
"117";"130330";31;0;31;0
"118";"130340";151;0;151;0
"119";"130350";16;0;16;0
"120";"130353";46;0;31;15
"121";"130356";37;0;37;0
"122";"130360";20;0;20;0
"123";"130370";28;0;28;0
"124";"130380";107;0;87;20
"125";"130390";30;0;30;0
"126";"130395";20;0;20;0
"127";"130400";14;0;14;0
"128";"130406";50;0;50;0
"129";"130410";35;0;35;0
"130";"130420";112;0;99;13
"131";"130423";33;0;33;0
"132";"130426";21;0;21;0
"133";"130430";40;0;40;0
"134";"130440";32;0;32;0
"135";"160005";30;0;30;0
"136";"160010";27;0;27;0
"137";"160015";15;0;15;0
"138";"160020";16;0;16;0
"139";"160023";13;0;13;0
"140";"160027";40;0;40;0
"141";"160030";823;0;642;181
"142";"160040";16;0;16;0
"143";"160050";20;0;20;0
"144";"160053";34;0;34;0
"145";"160060";90;0;74;16
"146";"160070";10;0;10;0
"147";"160080";8;0;8;0
"148";"290020";24;0;24;0
"149";"290030";6;0;6;0
"150";"290035";19;0;19;0
"151";"290040";20;0;20;0
