"";"TOTAL";"COL1992";"COL1993";"COL1994";"COL1995";"COL1996";"COL1997";"COL1998";"COL1999";"COL2000";"COL2001";"COL2002";"COL2003";"COL2004";"COL2005";"COL2006";"COL2007";"COL2008";"COL2009";"COL2010";"COL2011";"COL2012";"COL2013";"COL2014";"COL2015";"COL2016";"COL2017";"COL2018";"COL2019";"COL2020"
"1";"ANO_CMPT";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"2";"AUD_JUST";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;88;88;88;88;88;88;88;88;88;88
"3";"CAR_INT";NA;NA;NA;NA;NA;NA;41;45;51;49;51;51;51;53;54;54;55;55;55;56;56;56;56;56;56;56;56;56;56
"4";"CBOR";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;63;63;63;NA;73;66;67;67;67;68;68;68;68;68;68;68;68;68;68
"5";"CEP";NA;NA;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
"6";"CGC_HOSP";5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"7";"CGC_MANT";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8";"CID_ASSO";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;77;74;77;77;77;78;78;78;78;78;78;78;78;78;78
"9";"CID_MORTE";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;78;75;78;78;78;79;79;79;79;79;79;79;79;79;79
"10";"CID_NOTIF";NA;NA;NA;NA;NA;NA;NA;49;57;55;57;57;57;59;60;60;61;61;61;62;62;62;62;62;62;62;62;62;62
"11";"CNAER";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;64;64;64;NA;74;67;68;68;68;69;69;69;69;69;69;69;69;69;69
"12";"CNES";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;69;69;68;69;72;74;74;74;75;75;75;75;75;75;75;75;75;75
"13";"CNPJ_MANT";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;75;75;75;76;76;76;76;76;76;76;76;76;76
"14";"COBRANCA";27;27;31;31;31;32;28;33;39;39;39;39;39;41;41;42;43;43;43;43;43;43;43;43;43;43;43;43;43
"15";"COD_ARQ";34;34;38;38;39;40;36;41;47;NA;47;47;47;49;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"16";"COD_IDADE";30;30;34;34;35;36;32;37;43;43;43;43;43;45;46;48;49;49;49;50;50;50;50;50;50;50;50;50;50
"17";"COD_SEG";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;71;69;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"18";"COMPLEX";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;79;79;79;80;80;80;80;80;80;80;80;80;80
