"";"CODUFMUN";"media";"mediana"
"1";"120001";3,16666666666667;3
"2";"120005";1;1
"3";"120010";4;4
"4";"120013";0;0
"5";"120017";2,91666666666667;1
"6";"120020";21,8333333333333;21,5
"7";"120030";16;16
"8";"120033";1;1
"9";"120034";3;3
"10";"120038";5,5;5
"11";"120040";184,083333333333;188
"12";"120045";14,8333333333333;14
"13";"120050";3;3
"14";"120060";2,75;3
"15";"120070";1;1
"16";"270010";4;4
"17";"270020";4;4
"18";"270030";87,4166666666667;89
"19";"270040";2;2
"20";"270050";4;4
"21";"270060";2;2
"22";"270070";3;3
"23";"270080";1;1
"24";"270090";1;1
"25";"270100";4;4
"26";"270110";3;3
"27";"270130";3;3
"28";"270140";2;2
"29";"270150";0;0
"30";"270170";6;6
"31";"270190";2;2
"32";"270200";1;1
"33";"270210";22;22
"34";"270220";2;2
"35";"270230";5,83333333333333;6
"36";"270240";8;8
"37";"270250";1;1
"38";"270260";1,33333333333333;1
"39";"270270";1;1
"40";"270280";3;3
"41";"270290";4;4
"42";"270310";2,16666666666667;2
"43";"270320";2;2
"44";"270330";1,25;1
"45";"270340";2;2
"46";"270375";3,33333333333333;4
"47";"270380";3;3
"48";"270390";2;2
"49";"270400";8;8
"50";"270410";3,25;3
"51";"270420";2;2
"52";"270430";571,083333333333;557,5
"53";"270440";3;3
"54";"270450";3;3
"55";"270460";1,08333333333333;1
"56";"270470";1;1
"57";"270480";3;3
"58";"270490";1;1
"59";"270500";2;2
"60";"270510";3;3
"61";"270520";2;2
"62";"270540";1;1
"63";"270550";9;9
"64";"270560";3;3
"65";"270570";3;3
"66";"270590";1;1
"67";"270600";2;2
"68";"270630";39,9166666666667;40
"69";"270640";15;15
"70";"270642";1;1
"71";"270644";2;2
"72";"270650";3,33333333333333;3
"73";"270660";1;1
"74";"270670";15;15
"75";"270680";3;3
"76";"270690";9,25;9
"77";"270710";4;3
"78";"270720";1;1
"79";"270730";4;4
"80";"270740";1;1
"81";"270750";3,5;4
"82";"270760";3;3
"83";"270770";11;11
"84";"270800";10;9
"85";"270820";2;2
"86";"270830";3;3
"87";"270840";2;2
"88";"270850";3;3
"89";"270860";19,6666666666667;19
"90";"270880";2;2
"91";"270890";1,33333333333333;1
"92";"270900";1;1
"93";"270910";2,33333333333333;2
"94";"270915";3;3
"95";"270920";3;3
"96";"270930";16,0833333333333;16
"97";"270940";3;3
"98";"130002";4,5;4,5
"99";"130006";1;1
"100";"130008";2;2
"101";"130010";2;2
"102";"130014";7;7
"103";"130020";2;2
"104";"130030";2,5;3
"105";"130040";3;3
"106";"130050";2;2
"107";"130060";4;4
"108";"130068";3;3
"109";"130070";4;4
"110";"130080";1,66666666666667;2
"111";"130083";2;2
"112";"130090";2;2
"113";"130100";4;4
"114";"130110";6;6
"115";"130120";6,75;7
"116";"130130";5;5
"117";"130140";4;4
"118";"130150";2;2
"119";"130160";3;3
"120";"130165";3;3
"121";"130170";4,75;5
"122";"130180";3;3
