"";"COD6D";"adm";"atencao_basica";"assist_hosp";"suporte";"vigil_epidem";"alimentacao";"trabalhador";"educ_infantil";"direitos";"saneamento_rural";"saneamento_urb";"desenv";"outros";"total"
"1";"350720";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2";"316660";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"3";"520120";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4";"171550";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5";"510120";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"6";"353286";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"7";"311560";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8";"430066";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"9";"355590";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"10";"220630";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";"521225";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"12";"251065";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"13";"170460";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14";"510788";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"15";"312790";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"16";"411260";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"17";"520420";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18";"411650";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19";"172015";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20";"312340";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"21";"354765";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"22";"421569";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"23";"432235";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"24";"420945";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"25";"430692";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"26";"430583";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"27";"431235";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"28";"355475";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29";"314660";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"30";"351565";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"31";"170625";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"32";"432360";0;0;0;0;0;0;0;0;0;0;0;0;0;0
