"";"COD6D";"benf_plano_media";"benf_plano_mediana"
"1";"350720";120,5;120,5
"2";"316660";31,5;32
"3";"520120";61;60,5
"4";"171550";8,25;8
"5";"510120";21,75;20,5
"6";"353286";122,5;122,5
"7";"311560";35,25;35,5
"8";"430066";75,5;74,5
"9";"355590";152,5;150
"10";"220630";2,25;2
"11";"521225";54,25;55,5
"12";"251065";14,25;14
"13";"170460";7,5;7,5
"14";"510788";1;1
"15";"312790";32;32,5
"16";"411260";32,5;32,5
"17";"520420";6,75;6,5
"18";"411650";39,5;39,5
"19";"172015";14;14
"20";"312340";38,75;39
"21";"354765";93,5;93
"22";"421569";46,75;47
"23";"432235";69;69
"24";"420945";34,5;34,5
"25";"430692";8,25;6,5
"26";"430583";24,5;25
"27";"431235";137,5;140
"28";"355475";255,75;253,5
"29";"314660";44;44
"30";"351565";55,5;56,5
"31";"170625";16,75;17
"32";"432360";42,5;41,5
"33";"432218";5,75;6
"34";"172125";11;10
"35";"420535";61;60,5
"36";"430925";93;95
"37";"431127";25;25
"38";"355570";196;198,5
"39";"171215";5;5
"40";"430485";151,5;150
"41";"316480";62,25;62
"42";"241490";35,5;34,5
"43";"431164";36,75;36,5
"44";"170980";6;6
"45";"354720";65,5;66
"46";"431673";9,25;10
"47";"310310";33,5;33,5
"48";"430885";53,75;54
"49";"251465";1,25;1
"50";"351385";106;105
"51";"522005";36,75;36
"52";"251260";13;13
"53";"171865";12;12
"54";"431725";220,25;221
"55";"431267";96,75;97
"56";"251278";16;16,5
"57";"421390";150,75;148
"58";"430593";39,75;40
"59";"311850";161;163,5
"60";"355695";67,75;69
"61";"172085";12;12
"62";"431478";49;48,5
"63";"351580";67,25;66
"64";"430462";15,25;15
"65";"421795";44;43,5
"66";"431346";3,5;2,5
"67";"421187";91;90,5
"68";"521340";7,75;7,5
"69";"314750";77,5;78
"70";"420895";78,5;79
"71";"510670";34,75;34
"72";"250485";3,25;3
"73";"431531";17,25;17
"74";"316050";36,25;37
"75";"353657";39;38,5
"76";"354925";173;178
"77";"314940";16;16
"78";"316640";81,5;81,5
"79";"431217";24,25;25
"80";"430461";73,5;73,5
"81";"350395";288,5;284
"82";"431262";8,5;8,5
"83";"412360";270,25;271,5
"84";"421005";110,25;104
"85";"312350";16;16
"86";"430055";90,75;89,5
"87";"431507";5,75;6
"88";"315380";59,5;59
"89";"411600";118,5;119
"90";"316580";20,25;20,5
"91";"316820";39,5;38,5
"92";"431513";43,5;43,5
"93";"420209";77,25;78
"94";"420475";19,5;19,5
"95";"352965";131;129
"96";"431936";2,75;3
"97";"510774";9,75;11
"98";"421715";28,5;27
"99";"350335";34,25;35
"100";"250115";1;1
"101";"355520";499,25;501,5
"102";"431046";55,5;55
"103";"431975";178;176,5
"104";"172093";1;1
"105";"420675";167,5;168
"106";"354625";160,25;162
"107";"431295";9;9
"108";"351800";113,75;112,5
"109";"410752";21;21,5
"110";"432285";121,75;121
"111";"314540";56;57
"112";"355530";156,25;157
"113";"432255";53;52,5
"114";"431775";38,25;38,5
"115";"316560";81,5;81,5
"116";"522028";14,25;14
"117";"316700";86,75;87
"118";"431517";83,25;83,5
"119";"430192";32,5;32,5
"120";"420075";346,5;338,5
"121";"510631";2,5;2
"122";"520020";80,5;80
"123";"431475";59,25;58,5
"124";"430825";12,5;12
"125";"310070";95;94,5
"126";"430675";220;219,5
"127";"353625";281;275,5
"128";"420519";186,5;188,5
"129";"520050";67;67
"130";"520690";18,5;16
"131";"310330";114,5;116,5
"132";"220945";2;2
"133";"521480";76,5;76
"134";"170360";6,75;7
"135";"421560";184;184,5
"136";"430047";32;30
"137";"521290";62,25;62
"138";"251740";5,5;5,5
"139";"240480";15,5;15,5
"140";"314780";58,5;57
"141";"431861";143,75;164
"142";"354610";96,5;97,5
"143";"171370";12,25;11,5
"144";"250073";20,5;20,5
"145";"351420";161,5;169,5
"146";"420785";60,25;59
"147";"172130";6;5,5
"148";"412555";124,5;98,5
"149";"354930";66;67
"150";"221038";15,75;15,5
"151";"316490";140,75;142,5
"152";"352910";66,75;66
"153";"353284";40,5;40
"154";"430215";56,25;55,5
"155";"315620";146,75;146
"156";"314570";95,5;96,5
"157";"432057";25,75;26
"158";"171889";3,5;3,5
"159";"352725";351,75;361
"160";"431446";19,25;20
"161";"353100";471,75;479
"162";"420257";48,25;48,5
"163";"431755";187;186
"164";"430613";7;7
"165";"170382";179,75;181,5
"166";"420917";54,75;54
"167";"432335";9;10,5
"168";"431545";151,75;151,5
"169";"431075";49,5;49,5
"170";"430642";22,75;23
"171";"240410";27,25;26,5
"172";"317060";27;26
"173";"431971";143;143
"174";"353310";192,5;195
"175";"354323";151,75;153
"176";"314900";17,25;17,5
"177";"316730";248;248,5
"178";"431413";45;44,5
"179";"420920";452,25;451,5
"180";"510719";75,25;75
"181";"430258";372,5;373
"182";"431849";236,5;236
"183";"421055";94;94
"184";"431846";38;37
"185";"431200";76,25;76
"186";"431417";15;14
"187";"410910";145;150,5
"188";"171270";9,5;9,5
"189";"510530";37;37
"190";"171180";0,75;0
"191";"251070";64;65,5
"192";"315870";76;76
"193";"411005";107,75;109,5
"194";"310320";642,5;641,5
"195";"311490";45,75;47
"196";"352750";101,25;102
"197";"355465";71,25;70
"198";"521470";32,75;33
"199";"420165";85,75;86,5
"200";"240790";19;19,5
"201";"431041";32,25;32
"202";"430912";44;43,5
"203";"421185";116;115
"204";"351330";104,5;103,5
"205";"280010";118,75;120
"206";"431344";8;7,5
"207";"432045";32,25;32
"208";"313280";84,25;85
"209";"421410";108,5;108
"210";"171515";12,75;13
"211";"350745";207,75;209,5
"212";"241430";13,25;13
"213";"432234";5,75;5,5
"214";"520945";4,75;5
"215";"521205";4,25;4,5
"216";"430205";22;20
"217";"432162";58;58,5
"218";"110146";18,75;12
"219";"170388";20,5;20,5
"220";"241380";16;16
"221";"411590";46,75;45
"222";"430237";69,25;70
"223";"355715";318;316
"224";"521580";69,75;72,5
"225";"431057";153,25;150,5
