"","year","population"
"1",1992,149236984
"2",1993,151571727
"3",1994,153725670
"4",1995,155822440
"5",1996,157070163
"6",1997,159636413
"7",1998,161790311
"8",1999,163947554
"9",2000,169799170
"10",2001,172385826
"11",2002,174632960
"12",2003,176871437
"13",2004,181569056
"14",2005,184184264
"15",2006,186770562
"16",2007,183987291
"17",2008,189605006
"18",2009,191480630
"19",2010,190755799
"20",2011,192379287
"21",2012,193904015
"22",2013,201032714
"23",2014,202768562
"24",2015,204450049
"25",2016,206081432
"26",2017,207660929
"27",2018,208494900
"28",2019,210147125
"29",2020,211755692
