cod_mun;benf_plano_media;benf_plano_mediana
110001;18001,75;18206,5
110037;50;40,5
110040;157,75;157
110034;337,5;290
110002;5417;5392,5
110045;297,5;297
110003;126,75;115,5
110060;107,25;105
110004;5203,75;4931
110070;26;26,5
110080;387,5;399,5
110090;19,25;17,5
110005;564,5;538,5
110092;57,25;52
110006;812,75;802,5
110007;57,75;49
110008;228;197,5
110094;114,25;114
110009;958,75;808
110100;31,5;21
110010;2395,5;2421
110110;1243,5;1212
110011;1687,75;1525,5
110012;9676,5;9329
110013;412;383
110120;44,25;36
110130;214,5;194,5
110140;82;82
110014;207,5;169
110033;132;133
110143;41;31,5
110050;56,5;47
110015;2087,5;1943,5
110145;32,25;25,5
110018;1963,75;1804,5
110146;18,75;12
110020;84114,5;83427,5
110025;790;652,5
110147;25,5;15,5
110026;24;24
110028;1500;1330,5
110029;124,25;91,5
110148;37,5;29
110149;94;82,5
110032;261,25;252,5
110150;110,75;105,5
110155;28,75;24,5
110160;64,25;49,5
110170;197,25;178,5
110175;64,25;61
110180;66,75;55
110030;7421,75;7280,5
110000;164,75;173,5
120001;143;142
120005;66;67,5
120010;220,5;220,5
120013;51;50
120017;25,25;25,5
120020;906,75;905,5
120025;88;88
120030;160,5;160,5
120032;3563,25;3563,5
120033;77,75;78,5
120034;21;18,5
120035;16,25;16,5
120038;100,5;101,5
120080;50,25;49
120039;17,5;17
120040;40177,5;40156
120042;12,75;13
120043;9,5;9,5
120050;273;271
120045;230,75;227
120060;227,25;227,5
120070;125,25;124,5
120000;116,5;117
130002;223,75;224
130006;19,5;19
130008;55;53,5
130010;57,75;57
130014;106,5;106,5
130020;42;42
130030;76,25;75,5
130040;86;85,5
130050;21,5;20,5
130060;232,5;231
130063;60;60
130068;27;27
130070;250;255
130080;135,5;135,5
130083;47;45
130090;75,5;75,5
130100;1674,75;1679
130110;106,75;107
130115;49;49,5
130120;4300,25;4352,5
130130;270,25;279,5
130140;208,25;209
130150;44,5;45
130160;36,25;36,5
130165;14,5;14,5
130170;672;671
130180;72;72
130185;218;215
130190;1861,75;1952
130195;14,5;14,5
130200;52;50,5
130210;11;11
130220;22;22
130230;71,25;71
130240;183;181,5
130250;828,25;836,5
130255;38,25;38
130260;416122,25;413977,5
130270;177,25;178
130280;22,5;22,5
130290;439,25;439
130300;32,5;32,5
130310;59,5;57
130320;105,25;104,5
130330;72;71,5
130340;786;783,5
130350;19,5;19,5
130353;851,5;862,5
130356;220,25;224
130360;18;18
130370;66;65
130380;279,25;280,5
130390;174,25;176
130395;14,25;14,5
130400;33,5;33,5
130406;391,5;395
130410;32,75;33
130420;1555,75;1603,5
130423;29,75;31,5
130426;70,5;71
130430;66,25;67
130440;23,75;24
130000;201,5;202,5
140005;40;40
140002;19;19
140010;25979,5;25404
140015;21;21
140017;52,5;51,5
140020;128;128,5
140023;9,75;10
140028;28;28
140030;77,75;78
140040;32,75;31,5
140045;52,25;52
140047;77,5;77
140050;60,5;59,5
140060;98,5;98,5
140000;34,5;35
150010;6895,75;6856
150013;83,25;83,5
150020;158,25;157,5
150030;64,25;63,5
