"";"CODUFMUN";"qtde"
"1";"120001";9
"2";"120005";4
"3";"120010";20
"4";"120013";4
"5";"120017";5
"6";"120020";93,5
"7";"120025";7,5
"8";"120030";15
"9";"120032";6
"10";"120033";7,5
"11";"120034";6,5
"12";"120035";5
"13";"120038";17
"14";"120039";3
"15";"120040";467,5
"16";"120042";7,5
"17";"120043";5
"18";"120045";15
"19";"120050";19
"20";"120060";19
"21";"120070";11,5
"22";"120080";5
"23";"270010";14,5
"24";"270020";19
"25";"270030";225
"26";"270040";32,5
"27";"270050";10,5
"28";"270060";16
"29";"270070";19,5
"30";"270080";3
"31";"270090";4
"32";"270100";22
"33";"270110";11
"34";"270120";12
"35";"270130";17
"36";"270135";4
"37";"270140";22
"38";"270150";5
"39";"270160";9
"40";"270170";20
"41";"270180";4
"42";"270190";7,5
"43";"270200";11
"44";"270210";11
"45";"270220";6
"46";"270230";45
"47";"270235";16
"48";"270240";29,5
"49";"270250";8
"50";"270255";10
"51";"270260";15
"52";"270270";5
"53";"270280";15,5
"54";"270290";22
"55";"270300";14,5
"56";"270310";19
"57";"270320";15
"58";"270330";9
"59";"270340";4
"60";"270350";4
"61";"270360";5
"62";"270370";4
"63";"270375";10
"64";"270380";26,5
"65";"270390";4
"66";"270400";20
"67";"270410";16
"68";"270420";22
"69";"270430";993
"70";"270440";20,5
"71";"270450";16,5
"72";"270460";9
"73";"270470";26
"74";"270480";10
"75";"270490";4
"76";"270500";12
"77";"270510";22
"78";"270520";10
"79";"270530";5
"80";"270540";5
"81";"270550";17
"82";"270560";8
"83";"270570";18
"84";"270580";4
"85";"270590";3
"86";"270600";9
"87";"270610";5,5
"88";"270620";3
"89";"270630";62
"90";"270640";21
"91";"270642";8,5
"92";"270644";7,5
"93";"270650";23
"94";"270660";7,5
"95";"270670";37
"96";"270680";13,5
"97";"270690";31,5
"98";"270700";4
"99";"270710";17
"100";"270720";7
"101";"270730";22,5
"102";"270740";5
"103";"270750";11
"104";"270760";14,5
"105";"270770";42
"106";"270780";5
"107";"270790";7
"108";"270800";33,5
"109";"270810";8
"110";"270820";11,5
"111";"270830";17
"112";"270840";31,5
"113";"270850";27,5
"114";"270860";34
"115";"270870";5
"116";"270880";20
"117";"270890";10
"118";"270895";6,5
"119";"270900";4
"120";"270910";14,5
"121";"270915";27
"122";"270920";17,5
"123";"270930";46,5
"124";"270940";34
"125";"130002";6
"126";"130006";3
"127";"130008";4
"128";"130010";5
"129";"130014";7
"130";"130020";2
"131";"130030";16,5
"132";"130040";5
"133";"130050";7,5
"134";"130060";7
"135";"130063";6,5
"136";"130068";8,5
"137";"130070";10
"138";"130080";14
"139";"130083";6
"140";"130090";4
"141";"130100";6
"142";"130110";12
"143";"130115";6
"144";"130120";25
"145";"130130";6
"146";"130140";11
"147";"130150";5
"148";"130160";9
"149";"130165";9
"150";"130170";13
"151";"130180";6
"152";"130185";30,5
"153";"130190";52
"154";"130195";3
"155";"130200";5
"156";"130210";3
"157";"130220";4
"158";"130230";6
"159";"130240";13
"160";"130250";42
"161";"130255";7
"162";"130260";1236
"163";"130270";13
"164";"130280";2
"165";"130290";22
"166";"130300";5
"167";"130310";13
"168";"130320";4
"169";"130330";7
"170";"130340";48,5
"171";"130350";4,5
"172";"130353";23
"173";"130356";21,5
"174";"130360";6
"175";"130370";4,5
"176";"130380";20,5
"177";"130390";5
"178";"130395";5
"179";"130400";5
"180";"130406";20
"181";"130410";8
"182";"130420";26,5
"183";"130423";10
"184";"130426";5
"185";"130430";9
"186";"130440";8
"187";"160005";4
"188";"160010";4
"189";"160015";4
"190";"160020";9
"191";"160021";4
"192";"160023";4
"193";"160025";2
"194";"160027";23,5
"195";"160030";383
"196";"160040";9
"197";"160050";12,5
"198";"160053";11
"199";"160055";1
"200";"160060";77
"201";"160070";4
"202";"160080";7
"203";"290010";8
"204";"290020";14
"205";"290030";10
"206";"290035";8,5
"207";"290040";18,5
"208";"290050";8
"209";"290060";7
"210";"290070";95,5
"211";"290080";21
"212";"290090";2
"213";"290100";33
"214";"290110";14
"215";"290115";16
"216";"290120";12
"217";"290130";12
"218";"290135";7
"219";"290140";4
"220";"290150";5
"221";"290160";20
"222";"290170";6
"223";"290180";4
"224";"290190";16
"225";"290195";4,5
"226";"290200";14
"227";"290205";10
"228";"290210";19
"229";"290220";6
"230";"290225";5
"231";"290230";5
"232";"290240";14
"233";"290250";10
"234";"290260";17
"235";"290265";7,5
"236";"290270";17
"237";"290280";19
"238";"290290";30
"239";"290300";11
"240";"290310";6
"241";"290320";135
"242";"290323";14
"243";"290327";14,5
"244";"290330";12
"245";"290340";21
"246";"290350";15
"247";"290360";12
"248";"290370";6
"249";"290380";16
"250";"290390";51
"251";"290395";12
"252";"290400";8
"253";"290405";9
"254";"290410";15
"255";"290420";14,5
"256";"290430";9
"257";"290440";3
"258";"290450";9
"259";"290460";46
"260";"290470";18,5
"261";"290475";3
"262";"290480";8
"263";"290485";6
"264";"290490";30
"265";"290500";15
"266";"290510";9
"267";"290515";6
"268";"290520";36
"269";"290530";12
"270";"290540";7
"271";"290550";10,5
"272";"290560";33
"273";"290570";232,5
"274";"290580";16
"275";"290590";10
"276";"290600";44,5
"277";"290610";17,5
"278";"290620";17
"279";"290630";24,5
"280";"290640";7
"281";"290650";76,5
"282";"290660";8
"283";"290670";16
"284";"290680";21
"285";"290682";11
"286";"290685";14
"287";"290687";20
"288";"290689";7
"289";"290690";23
"290";"290700";4,5
"291";"290710";20
"292";"290720";22,5
"293";"290730";30
"294";"290740";2
"295";"290750";33
"296";"290755";7
"297";"290760";11
"298";"290770";7
"299";"290780";21,5
"300";"290790";11
"301";"290800";20
"302";"290810";16
"303";"290820";10
"304";"290830";12,5
"305";"290840";56
"306";"290850";25
"307";"290860";13
"308";"290870";11
"309";"290880";3
"310";"290890";20
"311";"290900";11
"312";"290910";10
"313";"290920";6
"314";"290930";16
"315";"290940";6
"316";"290950";7
"317";"290960";16
"318";"290970";5,5
"319";"290980";61,5
"320";"290990";9
"321";"291000";6
"322";"291005";103
"323";"291010";15
"324";"291020";4,5
"325";"291030";11
"326";"291040";18
"327";"291050";56,5
"328";"291060";29,5
"329";"291070";40
"330";"291072";130,5
"331";"291075";9
"332";"291077";4
"333";"291080";479,5
"334";"291085";14
"335";"291090";3
"336";"291100";17
"337";"291110";11
"338";"291120";22
"339";"291125";4
"340";"291130";3
"341";"291140";10
"342";"291150";9
"343";"291160";11
