"";"CODUFMUN";"medicos_g1";"medicos_g2";"medicos_g3"
"1";"120043";5;1;5
"2";"171865";1;1;1
"3";"350720";3;NA;NA
"4";"171200";3;1;3
"5";"521878";6;1;6
"6";"172015";1;1;1
"7";"316660";3;1;3
"8";"520120";2;1;2
"9";"430066";3;NA;NA
"10";"171720";2;1;2
"11";"172130";1;1;1
"12";"171270";1;1;1
"13";"411650";4;1;4
"14";"350470";5;NA;NA
"15";"312340";4;1;4
"16";"160025";2;2;1
"17";"355465";3;NA;NA
"18";"220630";1;1;1
"19";"312790";5;1;5
"20";"240410";2;1;2
"21";"241490";8;1;8
"22";"355590";2;NA;NA
"23";"355570";5;NA;NA
"24";"311560";5;1;5
"25";"522108";2;2;1
"26";"314660";4;2;2
"27";"411260";1;1;1
"28";"510120";1;1;1
"29";"350745";7;2;3,5
"30";"510719";9;1;9
"31";"521290";6;1;6
"32";"160055";1;1;1
"33";"520420";1;1;1
"34";"521645";2;1;2
"35";"170825";2;1;2
"36";"431975";4;1;4
"37";"431164";4;NA;NA
"38";"420945";3;1;3
"39";"160015";6;3;2
"40";"353625";3;1;3
"41";"170389";3;2;1,5
"42";"315620";6;1;6
"43";"312350";5;1;5
"44";"171870";2;1;2
"45";"171525";1;1;1
"46";"314940";5;1;5
"47";"354925";9;3;3
"48";"251260";2;1;2
"49";"352725";4;1;4
"50";"314750";3;1;3
"51";"314900";5;1;5
"52";"170360";1;1;1
"53";"170382";1;1;1
"54";"315380";6;1;6
"55";"240480";1;1;1
"56";"430925";10;2;5
"57";"260545";14;1;14
"58";"520547";16;2;8
"59";"311850";4;1;4
"60";"316640";4;1;4
"61";"160021";5;3;1,66666666666667
"62";"421505";2;1;2
"63";"350060";16;NA;NA
"64";"431235";3;NA;NA
"65";"250220";2;1;2
"66";"172085";1;1;1
"67";"315870";6;1;6
"68";"171900";1;1;1
"69";"432360";5;1;5
"70";"431127";3;1;3
"71";"310070";8;1;8
"72";"421390";2;1;2
"73";"314550";6;1;6
"74";"316490";5;1;5
"75";"432255";6;2;3
"76";"431267";6;1;6
"77";"522005";1;1;1
"78";"521480";3;1;3
"79";"170388";1;1;1
"80";"352885";8;NA;NA
"81";"316560";7;1;7
"82";"351385";4;1;4
"83";"171515";2;1;2
"84";"431262";4;1;4
"85";"250410";3;1;3
"86";"510885";5;1;5
"87";"520145";2;1;2
"88";"521470";6;1;6
"89";"354180";2;1;2
"90";"421560";4;1;4
"91";"280010";3;1;3
"92";"520020";4;1;4
"93";"170025";1;1;1
"94";"171180";1;1;1
"95";"350395";4;NA;NA
"96";"355715";7;1;7
"97";"510450";3;1;3
"98";"170410";1;1;1
"99";"520455";5;1;5
"100";"171888";1;1;1
"101";"240640";4;1;4
"102";"430885";3;1;3
"103";"160005";5;2;2,5
"104";"171280";1;1;1
"105";"241430";3;1;3
"106";"431514";15;NA;NA
"107";"421005";5,5;2;2,75
"108";"412360";7;1;7
"109";"520050";7;1;7
"110";"316580";6;1;6
"111";"430195";5;1;5
"112";"352965";4;1;4
"113";"310320";4;1;4
"114";"316700";7;2;3,5
"115";"353320";3;1;3
"116";"431775";6;1;6
"117";"520393";6;1;6
"118";"432218";2;1;2
"119";"316730";3;1;3
"120";"521973";5;1;5
"121";"355520";5;1;5
"122";"311490";5;1;5
"123";"521205";7;2;3,5
"124";"171195";2;1;2
"125";"420920";4;1;4
"126";"351420";4;1;4
"127";"520690";2;1;2
"128";"316050";1;1;1
"129";"431475";5;NA;NA
"130";"316480";2;1;2
"131";"241380";4;1;4
"132";"431843";11;3;3,66666666666667
"133";"352910";5,5;1;5,5
"134";"353100";4;2;2
"135";"410810";3;1;3
"136";"430055";1;1;1
"137";"353310";5;5;1
"138";"171800";1;1;1
"139";"171850";1;1;1
"140";"431725";5;1;5
"141";"312520";5;1;5
"142";"430215";3;1;3
"143";"520055";6;1;6
"144";"521580";7;1;7
"145";"431244";12;NA;NA
"146";"431935";8;1;8
"147";"280250";3;1;3
"148";"241000";7;3;2,33333333333333
"149";"280500";2;1;2
"150";"431513";4;1;4
"151";"251710";7;1;7
"152";"314570";6;1;6
"153";"316360";7;1;7
"154";"351925";10,5;1,5;7
"155";"354830";2;1;2
"156";"316820";5;1;5
"157";"521340";6;1;6
"158";"354450";8;1;8
"159";"171190";5;3;1,66666666666667
"160";"311380";2;1;2
"161";"280690";5;1;5
"162";"420895";3;1;3
"163";"170215";3;2;1,5
"164";"280730";9;1;9
"165";"431478";5;1;5
"166";"431179";15;1;15
"167";"430469";2;1;2
"168";"172093";1;1;1
"169";"431213";5;1;5
"170";"410910";1;1;1
"171";"310310";9;1;9
"172";"431755";5;1;5
"173";"522130";7;1;7
"174";"520280";2;1;2
"175";"310980";12;1;12
"176";"317060";5;1;5
"177";"314540";8;1;8
"178";"432225";7;1;7
"179";"412555";2;1;2
"180";"314020";7;1;7
"181";"411965";4;1;4
"182";"431517";5;1;5
"183";"350315";12;1;12
"184";"352750";5;NA;NA
"185";"520460";5;1;5
"186";"510670";8;1;8
"187";"410340";4;1;4
"188";"241500";6;1;6
"189";"421430";2;1;2
"190";"312640";4;1;4
"191";"240040";1;1;1
"192";"354720";3;NA;NA
"193";"352200";6;1;6
"194";"160023";4;2;2
"195";"520015";8;1;8
"196";"520360";8;1;8
"197";"432065";10;NA;NA
"198";"431308";3;NA;NA
"199";"351010";8;1;8
"200";"431344";3;1;3
"201";"431046";4;1;4
"202";"350715";6;1;6
"203";"351580";2;1;2
"204";"431971";3;2;1,5
"205";"310330";7;1;7
"206";"421070";5;1;5
"207";"430485";2;1;2
"208";"120017";5;4;1,25
"209";"313080";6;1;6
"210";"354550";7;2;3,5
"211";"410115";1;1;1
"212";"411590";2;1;2
"213";"171250";3;2;1,5
"214";"314780";7;1;7
"215";"421300";6;1;6
"216";"431295";6;1;6
"217";"412430";8;1;8
"218";"350620";2;1;2
"219";"431041";2,5;2,5;1
"220";"521377";6;2;3
"221";"240550";2;2;1
"222";"522155";6;1;6
"223";"316750";8;1;8
"224";"520630";5;1;5
"225";"431242";7;1;7
"226";"351650";3;1;3
"227";"430587";3;1;3
"228";"351015";4;1;4
"229";"521600";7;1;7
"230";"240920";2;1;2
"231";"351495";6;1;6
"232";"354610";5;1;5
"233";"431846";4;1;4
"234";"171510";2;1;2
"235";"521385";3;1;3
"236";"317220";6;NA;NA
"237";"430355";5;1;5
"238";"411830";6;2;3
"239";"421895";3;1;3
"240";"411160";8;2;4
"241";"432235";5;1;5
"242";"353450";6;1;6
"243";"315300";5;1;5
"244";"350150";1;1;1
"245";"241142";4;1;4
"246";"354900";3;1;3
"247";"311720";5;1;5
"248";"431545";4;1;4
"249";"355130";5;3;1,66666666666667
"250";"420285";4;1;4
"251";"310140";4;NA;NA
"252";"172030";2;2;1
"253";"250530";2;2;1
"254";"170330";1;1;1
"255";"430786";4;1;4
"256";"431849";7;1;7
"257";"421315";2;1;2
"258";"280380";2;1;2
"259";"431075";12;2;6
"260";"241070";5;1;5
"261";"353090";10;1;10
"262";"313000";4;1;4
"263";"510735";6;2;3
"264";"431805";10;1;10
"265";"520710";10;1;10
"266";"431142";2;1;2
"267";"351492";3;1;3
"268";"316230";4;1;4
"269";"315500";4;1;4
"270";"510337";10;4;2,5
"271";"316080";9;1;9
"272";"251570";8;1;8
"273";"310360";4;1;4
"274";"353715";9;1;9
"275";"311470";7;1;7
"276";"432162";4;1;4
"277";"352790";6;1;6
"278";"240190";7;1;7
"279";"312460";12;1;12
"280";"431275";18;1;18
"281";"354470";7;2;3,5
"282";"412830";3;1;3
"283";"430558";9;1;9
"284";"520680";5;1;5
"285";"240590";3;1;3
"286";"411030";8;2;4
"287";"421335";5;1;5
"288";"312720";12;2;6
"289";"172025";2;1;2
"290";"430912";1;1;1
"291";"421715";4;1;4
"292";"521260";9;1;9
"293";"311500";4;1;4
"294";"510665";13;2;6,5
"295";"355255";9;1;9
"296";"431973";3;2;1,5
"297";"432330";9;1;9
"298";"431848";6;1;6
"299";"420315";4;2;2
"300";"251300";3;2;1,5
"301";"280200";9;2;4,5
"302";"250620";4;1;4
"303";"353000";4;1;4
"304";"354440";5,5;1;5,5
"305";"510794";14;4;3,5
"306";"240960";4;2;2
"307";"351330";8;1;8
"308";"312990";6;1;6
"309";"420543";2;1;2
"310";"313280";2;1;2
"311";"432370";7;1;7
"312";"241320";8;2;4
"313";"353284";7;1;7
"314";"420165";1;1;1
"315";"310130";6;1;6
"316";"355530";4;1;4
"317";"314950";6;1;6
"318";"430692";8;3;2,66666666666667
"319";"353330";4;1;4
"320";"421635";7;1;7
"321";"510645";2;1;2
"322";"520929";2;1;2
"323";"430192";2;1;2
"324";"351090";7;1;7
"325";"316310";11;2;5,5
"326";"431445";4;1;4
"327";"351530";3;1;3
"328";"421225";7;1;7
"329";"421410";2;1;2
"330";"220860";2;1;2
"331";"314130";4;1;4
"332";"522070";3;1;3
"333";"354920";6;NA;NA
"334";"431647";2;2;1
"335";"353380";8;NA;NA
"336";"431215";9,5;1;9,5
"337";"240790";6;1;6
"338";"251460";2;2;1
"339";"352110";35;1;35
"340";"522180";3;1;3
"341";"354930";2;1;2
"342";"510035";2;2;1
"343";"430642";2;1;2
"344";"353270";4;1;4
"345";"430237";4;1;4
"346";"510724";5;1;5
"347";"170390";4;2;2
"348";"431532";3;1;3
"349";"251060";5;1;5
"350";"313500";5;2;2,5
"351";"352042";22;4;5,5
"352";"171884";2;2;1
"353";"431642";2;1;2
"354";"355460";7;1;7
"355";"411925";4;1;4
"356";"412788";10;3;3,33333333333333
"357";"431507";2;NA;NA
"358";"170386";3;1;3
"359";"241190";3;2;1,5
"360";"521839";2;2;1
"361";"520660";5;1;5
"362";"171395";2;1;2
"363";"431403";7,5;1;7,5
"364";"431057";2;1;2
"365";"430057";8;1;8
"366";"431937";7;2;3,5
"367";"171090";2;2;1
"368";"171150";2,5;2,5;1
"369";"522026";3;1;3
"370";"311620";10,5;1;10,5
"371";"354360";7;1;7
"372";"355535";11;NA;NA
"373";"421125";7;2;3,5
"374";"431844";4;1;4
"375";"315970";3;1;3
"376";"171380";4;2;2
"377";"353970";6;1;6
"378";"430495";7;NA;NA
"379";"410753";7;1;7
"380";"420785";1;1;1
"381";"312280";14;3;4,66666666666667
"382";"431862";9;1;9
"383";"314250";6;1;6
"384";"170105";1;1;1
"385";"420435";5;1;5
"386";"250340";3,5;2,5;1,4
"387";"315370";3;1;3
"388";"430585";14;1;14
"389";"431505";3;1;3
"390";"353400";15;2;7,5
"391";"351512";2;1;2
"392";"431335";7,5;1,5;5
"393";"311690";4,5;1;4,5
"394";"421085";4;1;4
"395";"431280";9;1;9
"396";"310760";9;1;9
"397";"313830";4;1;4
"398";"421555";2;1;2
"399";"522220";7;2;3,5
"400";"311970";4;1;4
"401";"354710";3;1;3
"402";"354620";9;2;4,5
"403";"520960";4;1;4
"404";"314040";4;1;4
"405";"241060";11;1;11
"406";"317110";5;1;5
"407";"521160";5;1;5
"408";"317030";2;1;2
"409";"312190";5;1;5
"410";"431795";3;1;3
"411";"170130";3;3;1
"412";"315010";8;2;4
"413";"411005";3;1;3
"414";"315330";6;1;6
"415";"350500";9;1;9
"416";"431238";4;1;4
"417";"354030";5;1;5
"418";"431200";3;1;3
"419";"240690";6;1;6
"420";"316810";7;1;7
"421";"351519";10;1;10
"422";"420515";2;1;2
"423";"312550";3;1;3
"424";"412420";7;4;1,75
"425";"432132";12;1;12
"426";"310700";9;2;4,5
"427";"120005";4;2;2
"428";"351610";6;1;6
"429";"430515";2,5;1;2,5
"430";"410270";3;1;3
"431";"522157";4;1;4
"432";"510729";4;1;4
"433";"430805";3;1;3
"434";"353040";7;NA;NA
