"Localidade (Cod)";"Localidade";"Função (Cod/Desc)";"Subfunção (Cod/Desc)";"Despesa Executada (Favorecido)";"Despesa Executada (Subelemento)"
"3118809";"CORAÇÃO DE JESUS";"10 - SAÚDE";"301 - ATENÇÃO BÁSICA";"0";"0"
"2500000";"PARAÍBA (ESTADO)";"10 - SAÚDE";"512 - SANEAMENTO BÁSICO URBANO";"40347152,14";"40347152,14"
"2308005";"MASSAPÊ";"10 - SAÚDE";"512 - SANEAMENTO BÁSICO URBANO";"0";"0"
"9000000";"NACIONAL";"10 - SAÚDE";"131 - COMUNICAÇÃO SOCIAL";"65566406,47";"65566406,47"
"2400000";"RIO GRANDE DO NORTE (ESTADO)";"10 - SAÚDE";"512 - SANEAMENTO BÁSICO URBANO";"12827161,49";"12827161,49"
"1700000";"TOCANTINS (ESTADO)";"10 - SAÚDE";"512 - SANEAMENTO BÁSICO URBANO";"207204,69";"207204,69"
"2500000";"PARAÍBA (ESTADO)";"10 - SAÚDE";"303 - SUPORTE PROFILÁTICO E TERAPÊUTICO";"24764959";"24764959"
"2610301";"PARANATAMA";"10 - SAÚDE";"301 - ATENÇÃO BÁSICA";"0";"0"
"1503200";"IGARAPÉ-AÇU";"10 - SAÚDE";"302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL";"0";"0"
"2700706";"BATALHA - AL";"10 - SAÚDE";"511 - SANEAMENTO BÁSICO RURAL";"0";"0"
"5221403";"TRINDADE - GO";"10 - SAÚDE";"302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL";"500000";"500000"
"3111002";"CAMPESTRE - MG";"10 - SAÚDE";"302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL";"0";"0"
"1200328";"JORDÃO";"10 - SAÚDE";"301 - ATENÇÃO BÁSICA";"150000";"150000"
"4206405";"GUARACIABA - SC";"10 - SAÚDE";"512 - SANEAMENTO BÁSICO URBANO";"100000";"100000"
"2806909";"SÃO FRANCISCO - SE";"10 - SAÚDE";"512 - SANEAMENTO BÁSICO URBANO";"450000";"450000"
"4106407";"CORNÉLIO PROCÓPIO";"10 - SAÚDE";"302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL";"100000";"100000"
"2304285";"EUSÉBIO";"17 - SANEAMENTO";"512 - SANEAMENTO BÁSICO URBANO";"0";"0"
"5203500";"BOM JESUS DE GOIÁS";"10 - SAÚDE";"302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL";"250000";"250000"
"5211909";"JATAÍ";"10 - SAÚDE";"846 - OUTROS ENCARGOS ESPECIAIS";"0";"0"
"3100000";"MINAS GERAIS (ESTADO)";"16 - HABITAÇÃO";"451 - INFRA-ESTRUTURA URBANA";"0";"0"
"1600600";"SANTANA - AP";"10 - SAÚDE";"303 - SUPORTE PROFILÁTICO E TERAPÊUTICO";"0";"0"
"2400604";"ALMINO AFONSO";"10 - SAÚDE";"512 - SANEAMENTO BÁSICO URBANO";"60000";"60000"
"1200000";"ACRE (ESTADO)";"10 - SAÚDE";"511 - SANEAMENTO BÁSICO RURAL";"450000";"450000"
"3554300";"TEODORO SAMPAIO - SP";"10 - SAÚDE";"301 - ATENÇÃO BÁSICA";"0";"0"
"3147204";"PARAGUAÇU";"10 - SAÚDE";"303 - SUPORTE PROFILÁTICO E TERAPÊUTICO";"0";"0"
"4102901";"BITURUNA";"10 - SAÚDE";"302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL";"400000";"400000"
"4105508";"CIANORTE";"10 - SAÚDE";"302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL";"305000";"305000"
"3530706";"MOGI GUAÇU";"10 - SAÚDE";"846 - OUTROS ENCARGOS ESPECIAIS";"0";"0"
"2801603";"CEDRO DE SÃO JOÃO";"10 - SAÚDE";"512 - SANEAMENTO BÁSICO URBANO";"0";"0"
"4120606";"PRUDENTÓPOLIS";"10 - SAÚDE";"302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL";"100000";"100000"
"3304128";"QUATIS";"10 - SAÚDE";"301 - ATENÇÃO BÁSICA";"300000";"300000"
"3525300";"JAÚ";"10 - SAÚDE";"302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL";"130000";"130000"
"2708956";"SENADOR RUI PALMEIRA";"16 - HABITAÇÃO";"451 - INFRA-ESTRUTURA URBANA";"0";"0"
"1302009";"ITAPIRANGA - AM";"10 - SAÚDE";"512 - SANEAMENTO BÁSICO URBANO";"0";"0"
