"Localidade (Cod)","Localidade","Função (Cod/Desc)","Subfunção (Cod/Desc)","Despesa Executada (Favorecido)","Despesa Executada (Subelemento)"
"3105509","BARÃO DE MONTE ALTO","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"4105508","CIANORTE","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"2300507","ALCÂNTARAS","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"4106902","CURITIBA","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","1050550","1050550"
"2500000","PARAÍBA (ESTADO)","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","3830000","3830000"
"3500000","SÃO PAULO (ESTADO)","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","5524507090,53","5524507090,53"
"2301901","BARBALHA","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"3304904","SÃO GONÇALO","16 - HABITAÇÃO","482 - HABITAÇÃO URBANA","300000","300000"
"2400000","RIO GRANDE DO NORTE (ESTADO)","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","3842000","3842000"
"2709301","UNIÃO DOS PALMARES","17 - SANEAMENTO","512 - SANEAMENTO BÁSICO URBANO","400000","400000"
"4100000","PARANÁ (ESTADO)","10 - SAÚDE","303 - SUPORTE PROFILÁTICO E TERAPÊUTICO","124134920,63","124134920,63"
"9000000","NACIONAL","10 - SAÚDE","131 - COMUNICAÇÃO SOCIAL","101334354,14","101334354,14"
"5200000","GOIÁS (ESTADO)","10 - SAÚDE","301 - ATENÇÃO BÁSICA","250396364,78","250396364,78"
"3535309","PALMITAL - SP","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","300000","300000"
"3513504","CUBATÃO","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","117000","117000"
"3501301","ÁLVARES MACHADO","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"5221403","TRINDADE - GO","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","550000","550000"
"1302801","MARAÃ","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"2900000","BAHIA (ESTADO)","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","1658866076,93","1658866076,93"
"1600000","AMAPÁ (ESTADO)","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","66419777,85","66419777,85"
"3548203","SANTO ANTÔNIO DO PINHAL","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"9000000","NACIONAL","10 - SAÚDE","572 - DESENVOLVIMENTO TECNOLÓGICO E ENGENHARIA","0","0"
"3304904","SÃO GONÇALO","10 - SAÚDE","846 - OUTROS ENCARGOS ESPECIAIS","0","0"
"3301702","DUQUE DE CAXIAS","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"4122404","ROLÂNDIA","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"2802304","FREI PAULO","10 - SAÚDE","303 - SUPORTE PROFILÁTICO E TERAPÊUTICO","0","0"
"2706307","PALMEIRA DOS ÍNDIOS","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","100000","100000"
"1302504","MANACAPURU","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
