"";"CODUFMUN";"qtde"
"1";"120001";36
"2";"120005";28,5
"3";"120010";88
"4";"120013";8
"5";"120017";10
"6";"120020";372
"7";"120025";23
"8";"120030";49
"9";"120032";26
"10";"120033";40,5
"11";"120034";24
"12";"120035";30
"13";"120038";73,5
"14";"120039";22
"15";"120040";1584
"16";"120042";34,5
"17";"120043";9
"18";"120045";59,5
"19";"120050";80
"20";"120060";69
"21";"120070";70
"22";"120080";12
"23";"270010";58,5
"24";"270020";39,5
"25";"270030";741
"26";"270040";77
"27";"270050";25
"28";"270060";17
"29";"270070";47,5
"30";"270080";5
"31";"270090";13
"32";"270100";59
"33";"270110";20
"34";"270120";19
"35";"270130";52
"36";"270135";13
"37";"270140";60
"38";"270150";12,5
"39";"270160";16
"40";"270170";45
"41";"270180";8
"42";"270190";12,5
"43";"270200";28
"44";"270210";36
"45";"270220";13
"46";"270230";99
"47";"270235";32,5
"48";"270240";94,5
"49";"270250";26,5
"50";"270255";27
"51";"270260";27
"52";"270270";12
"53";"270280";23,5
"54";"270290";76,5
"55";"270300";22
"56";"270310";37,5
"57";"270320";38
"58";"270330";24
"59";"270340";18
"60";"270350";7
"61";"270360";19
"62";"270370";16,5
"63";"270375";22
"64";"270380";44
"65";"270390";7
"66";"270400";53
"67";"270410";44
"68";"270420";66
"69";"270430";3876
"70";"270440";43
"71";"270450";45
"72";"270460";25,5
"73";"270470";91
"74";"270480";18
"75";"270490";10
"76";"270500";41
"77";"270510";62,5
"78";"270520";24
"79";"270530";11
"80";"270540";11
"81";"270550";75
"82";"270560";21
"83";"270570";56
"84";"270580";15
"85";"270590";18
"86";"270600";22
"87";"270610";7
"88";"270620";12
"89";"270630";243,5
"90";"270640";74
"91";"270642";19
"92";"270644";11
"93";"270650";39
"94";"270660";17
"95";"270670";197,5
"96";"270680";37
"97";"270690";69
"98";"270700";3
"99";"270710";64,5
"100";"270720";18
"101";"270730";62,5
"102";"270740";18,5
"103";"270750";31
"104";"270760";37
"105";"270770";210
"106";"270780";9
"107";"270790";22,5
"108";"270800";115,5
"109";"270810";10
"110";"270820";22
"111";"270830";40,5
"112";"270840";46,5
"113";"270850";76
"114";"270860";107
"115";"270870";15
"116";"270880";59
"117";"270890";37
"118";"270895";17,5
"119";"270900";11
"120";"270910";42,5
"121";"270915";75,5
"122";"270920";38,5
"123";"270930";118,5
"124";"270940";64
"125";"130002";60
"126";"130006";27,5
"127";"130008";12
"128";"130010";34,5
"129";"130014";47
"130";"130020";23
"131";"130030";62
"132";"130040";56
"133";"130050";54,5
"134";"130060";98
"135";"130063";35
"136";"130068";48,5
"137";"130070";71
"138";"130080";81
"139";"130083";50,5
"140";"130090";22
"141";"130100";57
"142";"130110";41
"143";"130115";13
"144";"130120";191
"145";"130130";53
"146";"130140";42
"147";"130150";34
"148";"130160";64
"149";"130165";26
"150";"130170";78,5
"151";"130180";38
"152";"130185";108
"153";"130190";218
"154";"130195";10
"155";"130200";21
"156";"130210";12
"157";"130220";14
"158";"130230";23
"159";"130240";30
"160";"130250";170
"161";"130255";17
"162";"130260";8727
"163";"130270";62
"164";"130280";14
"165";"130290";103,5
"166";"130300";75
"167";"130310";56
"168";"130320";51
"169";"130330";21
"170";"130340";306
"171";"130350";47
"172";"130353";83,5
"173";"130356";70
"174";"130360";28
"175";"130370";29
"176";"130380";125
"177";"130390";18
"178";"130395";16
"179";"130400";36
"180";"130406";99
"181";"130410";43,5
"182";"130420";198
"183";"130423";37
"184";"130426";18
"185";"130430";63
"186";"130440";47
"187";"160005";50
"188";"160010";29,5
"189";"160015";29
"190";"160020";40
"191";"160021";26
"192";"160023";34
"193";"160025";17
